2026-09-04T21:08:51.418Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-04T21:08:53.560Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="1714.305082"
2026-09-04T21:08:53.575Z info execution_slots_admitted slot_bytes="1955896320" configured_slot_bytes="1955896320" session_limit="1" device_free_bytes="4329373696" safety_margin_bytes="734003200"
2026-09-04T21:08:53.575Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="64" http_task_queue_limit="81" startup_ms="2157"
2026-09-04T21:08:54.359Z info request_completed request_id="req_gem16_88cc18c5410e8437cc9036a77f627e80" method="POST" route="/v1/chat/completions" status="200" duration_ms="231.923000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-04T21:08:54.822Z info request_completed request_id="req_gem16_d2961652c1d5cc28423632171fa74b97" method="POST" route="/v1/chat/completions" status="200" duration_ms="457.083000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-04T21:08:54.976Z info request_completed request_id="req_gem16_167981503e6abe33361074658189eafd" method="POST" route="/v1/chat/completions" status="200" duration_ms="152.035000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-04T21:08:55.294Z info request_completed request_id="req_gem16_af76be20a841e759de0ace4887a0cbae" method="POST" route="/v1/chat/completions" status="200" duration_ms="316.374000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-04T21:08:55.754Z info request_completed request_id="req_gem16_455fb2ef269170ad8757df3ffd69469f" method="POST" route="/v1/chat/completions" status="200" duration_ms="458.044000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-04T21:08:56.111Z info request_completed request_id="req_gem16_ad6abe5a992d4f3c626bd60be393554d" method="POST" route="/v1/chat/completions" status="200" duration_ms="355.625000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-04T21:08:56.172Z info request_completed request_id="req_gem16_928733e5cd17437921035543f31f13f9" method="POST" route="/v1/chat/completions" status="200" duration_ms="58.829000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-04T21:08:56.189Z info request_completed request_id="req_gem16_45f5de88b14df8e2a7a760445ca0ac38" method="POST" route="/v1/chat/completions" status="200" duration_ms="15.533000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-04T21:08:56.433Z info request_completed request_id="req_gem16_e9771e5e8eddbfa7b77726c86b8d0eba" method="POST" route="/v1/chat/completions" status="200" duration_ms="16.856000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-04T21:08:56.895Z info request_completed request_id="req_gem16_78e089d3bafa5d89e123ac2cd82cfafa" method="POST" route="/v1/chat/completions" status="200" duration_ms="18.544000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-04T21:08:57.055Z info request_completed request_id="req_gem16_716c3e052c56d9c76107a6d977ea1f0e" method="POST" route="/v1/chat/completions" status="200" duration_ms="19.422000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-04T21:08:57.374Z info request_completed request_id="req_gem16_8f66f7e733558fe311ccf50199602b89" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.875000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-04T21:08:57.836Z info request_completed request_id="req_gem16_257d67dbb3e1f7233300c7675924b11d" method="POST" route="/v1/chat/completions" status="200" duration_ms="15.809000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-04T21:08:58.195Z info request_completed request_id="req_gem16_b3645b82846608522a36899dfd5d76d5" method="POST" route="/v1/chat/completions" status="200" duration_ms="13.894000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-04T21:08:58.516Z info request_completed request_id="req_gem16_b0614bc94903ae0aeacd625c9a57001f" method="POST" route="/v1/responses" status="200" duration_ms="247.339000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-04T21:08:59.045Z info request_completed request_id="req_gem16_5a8a1132b2c2532d1d24277644829709" method="POST" route="/v1/responses" status="200" duration_ms="420.791000" queue_wait_ms="0.000000" request_bytes="6813"
2026-09-04T21:08:59.047Z warning request_completed request_id="req_gem16_4fc40fd0cdfcddc597790362865d6ed0" method="POST" route="/v1/responses" status="404" duration_ms="0.026000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-04T21:08:59.205Z info request_completed request_id="req_gem16_68cc18862e96ab3c54bd646732c6334e" method="POST" route="/v1/responses" status="200" duration_ms="156.518000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-04T21:08:59.486Z info request_completed request_id="req_gem16_8eef266777ccf0feb25f7aaf8c1b06da" method="POST" route="/v1/responses" status="200" duration_ms="279.278000" queue_wait_ms="0.000000" request_bytes="3634"
