2026-09-04T21:09:16.862Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-04T21:09:22.823Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5502.275245"
2026-09-04T21:09:22.829Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2607611904" safety_margin_bytes="734003200"
2026-09-04T21:09:22.829Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="64" http_task_queue_limit="81" startup_ms="5966"
2026-09-04T21:09:23.434Z info request_completed request_id="req_gem16_f0f38910a32ee97418f72e52aa51eced" method="POST" route="/v1/chat/completions" status="200" duration_ms="109.905000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-04T21:09:23.646Z info request_completed request_id="req_gem16_c07902cd771c5613b6b2fd1c8697781e" method="POST" route="/v1/chat/completions" status="200" duration_ms="205.542000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-04T21:09:24.010Z info request_completed request_id="req_gem16_b688a47157f1c1b6e794a03f2f64ffcc" method="POST" route="/v1/chat/completions" status="200" duration_ms="361.207000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-04T21:09:24.121Z info request_completed request_id="req_gem16_e290f039bdf7528153b780f7e00665e6" method="POST" route="/v1/chat/completions" status="200" duration_ms="109.311000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-04T21:09:24.327Z info request_completed request_id="req_gem16_72e027d8c44e83bfbab64512c0bacdcd" method="POST" route="/v1/chat/completions" status="200" duration_ms="204.525000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-04T21:09:24.693Z info request_completed request_id="req_gem16_e46673a85f69fea22f0cae1e80790a3c" method="POST" route="/v1/chat/completions" status="200" duration_ms="364.507000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-04T21:09:24.911Z info request_completed request_id="req_gem16_8ba19ec55f3c7673a41e60004f05bf53" method="POST" route="/v1/chat/completions" status="200" duration_ms="215.620000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-04T21:09:24.954Z info request_completed request_id="req_gem16_335e0496e3109c49711acef8325db74d" method="POST" route="/v1/chat/completions" status="200" duration_ms="41.591000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-04T21:09:24.961Z info request_completed request_id="req_gem16_e22ae223be2892e4fb9266c1c55e76c4" method="POST" route="/v1/chat/completions" status="200" duration_ms="5.322000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-04T21:09:25.074Z info request_completed request_id="req_gem16_e63a0664acc78a4e5625749540dcf404" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.231000" queue_wait_ms="0.000000" request_bytes="3912"
2026-09-04T21:09:25.283Z info request_completed request_id="req_gem16_ae485616def855ee83d0b8772c69ae1a" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.693000" queue_wait_ms="0.000000" request_bytes="7228"
2026-09-04T21:09:25.648Z info request_completed request_id="req_gem16_e6df436f3722caa3d456847e600a3c0a" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.919000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-04T21:09:25.759Z info request_completed request_id="req_gem16_e790eee42cbe5377deea3eb046a8aba9" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.665000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-04T21:09:25.967Z info request_completed request_id="req_gem16_01bb1afc2517c1ee411c10f053be1a53" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.717000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-04T21:09:26.335Z info request_completed request_id="req_gem16_a70786d3a808ac570e359b3bd7414cca" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.493000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-04T21:09:26.554Z info request_completed request_id="req_gem16_b2b2b2f62f84886137decb633f7748d7" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.936000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-04T21:09:26.732Z info request_completed request_id="req_gem16_b5df87eca0821f64e1e8774f77c25fc9" method="POST" route="/v1/responses" status="200" duration_ms="108.425000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-04T21:09:27.009Z info request_completed request_id="req_gem16_4ae55e1f676f1d68015eba22780b044d" method="POST" route="/v1/responses" status="200" duration_ms="183.295000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-04T21:09:27.279Z info request_completed request_id="req_gem16_978f84d5974881edc95cc97e7ec2559c" method="POST" route="/v1/responses" status="200" duration_ms="268.140000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-04T21:09:27.279Z warning request_completed request_id="req_gem16_076df97e98833131d8a796cf0f07a2b3" method="POST" route="/v1/responses" status="404" duration_ms="0.025000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-04T21:09:27.391Z info request_completed request_id="req_gem16_13ac101147424d8452d0ac10defd6d78" method="POST" route="/v1/responses" status="200" duration_ms="110.117000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-04T21:09:27.575Z info request_completed request_id="req_gem16_dcfacf9f6686328fbd44807a3340ce2c" method="POST" route="/v1/responses" status="200" duration_ms="182.463000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-04T21:09:27.825Z info request_completed request_id="req_gem16_9a872acf9a1e721446a6b08f2caec52a" method="POST" route="/v1/responses" status="200" duration_ms="248.552000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-04T21:09:27.826Z warning request_completed request_id="req_gem16_10565044ae447d2f0c3c4a01e6fe4223" method="POST" route="/v1/responses" status="404" duration_ms="0.026000" queue_wait_ms="0.000000" request_bytes="122"
