2026-09-05T18:47:08.474Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T18:47:20.839Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11600.672200"
2026-09-05T18:47:20.853Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-05T18:47:20.854Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12380"
2026-09-05T18:47:23.051Z info request_completed request_id="req_gem16_3598601fde6be229a95164e2f97cf407" method="POST" route="/v1/responses" status="200" duration_ms="338.589000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T18:47:23.255Z info request_completed request_id="req_gem16_d85e6ff355b8fa6c29b908a3c3b95a20" method="POST" route="/v1/responses" status="200" duration_ms="141.221000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T18:47:23.267Z info request_completed request_id="req_gem16_4e1d8155ba15cee84fa91fee22201292" method="POST" route="/v1/responses" status="200" duration_ms="8.012000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T18:47:23.438Z info request_completed request_id="req_gem16_bd95931a2113f292fca66de840375467" method="POST" route="/v1/responses" status="200" duration_ms="9.143000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T18:47:23.683Z info request_completed request_id="req_gem16_31d19399cf3d9652d93e97f5d136d7db" method="POST" route="/v1/chat/completions" status="200" duration_ms="107.958000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T18:47:23.890Z info request_completed request_id="req_gem16_52c86ca70ad3308e43c09dd7e0a3a417" method="POST" route="/v1/chat/completions" status="200" duration_ms="201.511000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-05T18:47:24.255Z info request_completed request_id="req_gem16_021b2c58cd5f7a81fc65efbcda1ed854" method="POST" route="/v1/chat/completions" status="200" duration_ms="363.300000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-05T18:47:24.369Z info request_completed request_id="req_gem16_fd4d7fbb738f12fc9b7b61cc86b632c1" method="POST" route="/v1/chat/completions" status="200" duration_ms="112.199000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T18:47:24.577Z info request_completed request_id="req_gem16_f2269fe2c4fc21bec586e6693cf54da3" method="POST" route="/v1/chat/completions" status="200" duration_ms="205.618000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T18:47:24.934Z info request_completed request_id="req_gem16_c5fbd15b90f91bf28eea48836cfa3967" method="POST" route="/v1/chat/completions" status="200" duration_ms="355.022000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T18:47:25.148Z info request_completed request_id="req_gem16_bff90a107c91e57dc545798135c11c4d" method="POST" route="/v1/chat/completions" status="200" duration_ms="212.061000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T18:47:25.196Z info request_completed request_id="req_gem16_75568706310968b5db94028e84ab31f2" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.817000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T18:47:25.205Z info request_completed request_id="req_gem16_3e85bf77b986ead3c4a9833b50529ae7" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.577000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T18:47:25.333Z info request_completed request_id="req_gem16_38c71c830b6a841ae2315e3e8f9c821e" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.272000" queue_wait_ms="0.000000" request_bytes="3912"
2026-09-05T18:47:25.554Z info request_completed request_id="req_gem16_fe9ddb633fa3bab409cb0a61ca6fa536" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.931000" queue_wait_ms="0.000000" request_bytes="7228"
2026-09-05T18:47:25.936Z info request_completed request_id="req_gem16_3e18d915cf45299a660002de54aca73e" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.501000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T18:47:26.063Z info request_completed request_id="req_gem16_e0478045f5f10211cf735cb897d94e91" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.520000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T18:47:26.284Z info request_completed request_id="req_gem16_2df9534532446537aec59465a53c1b43" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.946000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T18:47:26.664Z info request_completed request_id="req_gem16_80b4eb8959adf4faf0b04c91acf952c4" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.889000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-05T18:47:26.902Z info request_completed request_id="req_gem16_f556a1b94510778a6c8436914ebd1f59" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.593000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T18:47:27.064Z info request_completed request_id="req_gem16_c8ca003595571b08ec36235b8d6514a9" method="POST" route="/v1/responses" status="200" duration_ms="106.768000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T18:47:27.246Z info request_completed request_id="req_gem16_79b41782110337b05b20726a7d1d9a44" method="POST" route="/v1/responses" status="200" duration_ms="180.216000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-05T18:47:27.510Z info request_completed request_id="req_gem16_17994d09a8417ec92ffa06e6d2637b10" method="POST" route="/v1/responses" status="200" duration_ms="263.104000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-05T18:47:27.511Z warning request_completed request_id="req_gem16_96a6bf28e73c15ad515fab437b17fcac" method="POST" route="/v1/responses" status="404" duration_ms="0.069000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T18:47:27.638Z info request_completed request_id="req_gem16_09441b6c4e3068377c695f90130b6038" method="POST" route="/v1/responses" status="200" duration_ms="109.055000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-05T18:47:27.820Z info request_completed request_id="req_gem16_65c3ddc48b6f43eba6d4c9c159dd84b9" method="POST" route="/v1/responses" status="200" duration_ms="180.138000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-05T18:47:28.065Z info request_completed request_id="req_gem16_bfb3f94961f9c77ac4f55c59163fb306" method="POST" route="/v1/responses" status="200" duration_ms="243.235000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-05T18:47:28.066Z warning request_completed request_id="req_gem16_7b49a0a4293810c3ba4e18d2dbb3ff8f" method="POST" route="/v1/responses" status="404" duration_ms="0.056000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T18:47:28.299Z info request_completed request_id="req_gem16_4d74034400f5bf05186c7a528a59d971" method="POST" route="/v1/responses" status="200" duration_ms="213.584000" queue_wait_ms="0.000000" request_bytes="853"
2026-09-05T18:47:28.346Z info request_completed request_id="req_gem16_eda710f2e9d05c0b00366b8b6624be98" method="POST" route="/v1/responses" status="200" duration_ms="44.793000" queue_wait_ms="0.000000" request_bytes="99"
2026-09-05T18:47:28.355Z info request_completed request_id="req_gem16_c1ab2f42b5c2901df6d8ff95d1e03f8b" method="POST" route="/v1/responses" status="200" duration_ms="7.630000" queue_wait_ms="0.000000" request_bytes="537"
2026-09-05T18:47:28.457Z info request_completed request_id="req_gem16_3b3bce8daf875d7957b40b44f6e93916" method="POST" route="/v1/responses" status="200" duration_ms="0.117000" queue_wait_ms="0.000000" request_bytes="3648"
2026-09-05T18:47:28.641Z info request_completed request_id="req_gem16_dd68b263de5fb5d94d09030d252cdd82" method="POST" route="/v1/responses" status="200" duration_ms="0.091000" queue_wait_ms="0.000000" request_bytes="3646"
2026-09-05T18:47:28.906Z warning request_completed request_id="req_gem16_0cc028b8045bb6438af6a1a76c2acda6" method="POST" route="/v1/responses" status="404" duration_ms="0.047000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T18:47:28.933Z info request_completed request_id="req_gem16_e9f4156d519fd775e07fa5b2908639b4" method="POST" route="/v1/responses" status="200" duration_ms="9.508000" queue_wait_ms="0.000000" request_bytes="540"
2026-09-05T18:47:29.036Z info request_completed request_id="req_gem16_2faa242697030a80c69d5b886d6d83e2" method="POST" route="/v1/responses" status="200" duration_ms="0.107000" queue_wait_ms="0.000000" request_bytes="3648"
2026-09-05T18:47:29.218Z info request_completed request_id="req_gem16_c255d8ce388308af7f0131140599f37b" method="POST" route="/v1/responses" status="200" duration_ms="0.101000" queue_wait_ms="0.000000" request_bytes="3646"
2026-09-05T18:47:29.463Z warning request_completed request_id="req_gem16_fe1df0a8a501f9ad42bef70fed76397e" method="POST" route="/v1/responses" status="404" duration_ms="0.031000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T18:47:29.488Z info request_completed request_id="req_gem16_23f2e455576ce18ef454f7e91c152fcf" method="POST" route="/v1/responses" status="200" duration_ms="9.397000" queue_wait_ms="0.000000" request_bytes="867"
2026-09-05T18:47:29.703Z info request_completed request_id="req_gem16_0d63e918bde9e55d3a4f43a6c464381e" method="POST" route="/v1/responses" status="200" duration_ms="8.854000" queue_wait_ms="0.000000" request_bytes="113"
2026-09-05T18:47:29.848Z info request_completed request_id="req_gem16_5c6df2d72a0f497f412c84ce6e9e311f" method="POST" route="/v1/responses" status="200" duration_ms="105.243000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T18:47:29.991Z info request_completed request_id="req_gem16_15056a26ffa0e6dfddbb643d82f1f8c5" method="POST" route="/v1/responses" status="200" duration_ms="140.004000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T18:47:30.000Z info request_completed request_id="req_gem16_d038f3e64d208bbd4c7fa8c10f908cb1" method="POST" route="/v1/responses" status="200" duration_ms="7.973000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T18:47:30.111Z info request_completed request_id="req_gem16_7ad14f778585198ce073c1d39be15806" method="POST" route="/v1/responses" status="200" duration_ms="8.110000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T18:47:30.245Z warning request_completed request_id="req_gem16_f878033b8cb33fba532deb59e3f5a651" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.025000" queue_wait_ms="0.000000" request_bytes="82"
2026-09-05T18:47:30.257Z warning request_completed request_id="req_gem16_54c9b1a3a03551ad200a3481d6ba7b7d" method="POST" route="/v1/responses" status="400" duration_ms="0.045000" queue_wait_ms="0.000000" request_bytes="47"
2026-09-05T18:47:30.287Z warning request_completed request_id="req_gem16_97fac538b842c4529f0325e866f13cb5" method="POST" route="/v1/responses" status="400" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="7"
2026-09-05T18:47:30.321Z warning request_completed request_id="req_gem16_f912facf044712586ce367dc950352cd" method="POST" route="/v1/responses" status="400" duration_ms="17.215000" queue_wait_ms="0.000000" request_bytes="100080"
2026-09-05T18:47:30.358Z info request_completed request_id="req_gem16_3880e575551f9e42e60dfc6277fecd72" method="POST" route="/v1/responses" status="200" duration_ms="7.968000" queue_wait_ms="0.000000" request_bytes="156"
2026-09-05T18:47:30.414Z info request_completed request_id="req_gem16_3995952115ca091350113d021d1c22b5" method="POST" route="/v1/responses/([^/]+)/cancel" status="200" duration_ms="0.033000" queue_wait_ms="0.000000" request_bytes="0"
2026-09-05T18:47:30.502Z info request_completed request_id="req_gem16_c266506c65b4ec6a2ae929b8d66c2ef6" method="POST" route="/v1/responses" status="200" duration_ms="55.295000" queue_wait_ms="0.000000" request_bytes="95"
2026-09-05T18:47:30.532Z info request_completed request_id="req_gem16_74f2353b81572487a4fa5fab32efafd3" method="POST" route="/v1/responses" status="200" duration_ms="8.065000" queue_wait_ms="0.000000" request_bytes="156"
2026-09-05T18:47:30.719Z info request_completed request_id="req_gem16_a3b013e481244719f485cca8004abf38" method="POST" route="/v1/responses" status="200" duration_ms="56.383000" queue_wait_ms="0.000000" request_bytes="95"
2026-09-05T18:47:31.432Z info request_completed request_id="req_gem16_93cb93e15a40489c0e522b12047e4fe1" method="POST" route="/v1/chat/completions" status="200" duration_ms="121.352000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T18:47:31.638Z info request_completed request_id="req_gem16_6499f34dc144bf055a6d23fb2308382c" method="POST" route="/v1/chat/completions" status="200" duration_ms="199.880000" queue_wait_ms="0.000000" request_bytes="3728"
2026-09-05T18:47:31.972Z info request_completed request_id="req_gem16_9131ac67e3d430d7f72545fffaeb820f" method="POST" route="/v1/chat/completions" status="200" duration_ms="331.910000" queue_wait_ms="0.000000" request_bytes="6914"
2026-09-05T18:47:32.090Z info request_completed request_id="req_gem16_8c35909137aaac711496902e2250ee76" method="POST" route="/v1/chat/completions" status="200" duration_ms="115.931000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T18:47:32.283Z info request_completed request_id="req_gem16_3117bb85eca46b66ec283e9b1fc35257" method="POST" route="/v1/chat/completions" status="200" duration_ms="191.056000" queue_wait_ms="0.000000" request_bytes="3731"
2026-09-05T18:47:32.608Z info request_completed request_id="req_gem16_b307e2d774b308c33113045294936362" method="POST" route="/v1/chat/completions" status="200" duration_ms="323.076000" queue_wait_ms="0.000000" request_bytes="6917"
2026-09-05T18:47:32.824Z info request_completed request_id="req_gem16_41366ff5f64a50b26544108b521d5325" method="POST" route="/v1/chat/completions" status="200" duration_ms="213.959000" queue_wait_ms="0.000000" request_bytes="931"
2026-09-05T18:47:32.872Z info request_completed request_id="req_gem16_f93434a4233d68adc8417e0b6a9b3b0a" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.236000" queue_wait_ms="0.000000" request_bytes="130"
2026-09-05T18:47:32.881Z info request_completed request_id="req_gem16_9377633d90b02da2e602afb9a54f370f" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.728000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T18:47:32.993Z info request_completed request_id="req_gem16_10e3fbdcbc59dc993b64c986cf2585bc" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.785000" queue_wait_ms="0.000000" request_bytes="3782"
2026-09-05T18:47:33.185Z info request_completed request_id="req_gem16_e83df454619b24e9e0f8f158d8379fb4" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.279000" queue_wait_ms="0.000000" request_bytes="6968"
2026-09-05T18:47:33.509Z info request_completed request_id="req_gem16_516c5c2c9fc2aa4f7f7845516a37c608" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.712000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T18:47:33.620Z info request_completed request_id="req_gem16_f2da579bdd08e8666620e2e4a9e10752" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.955000" queue_wait_ms="0.000000" request_bytes="3785"
2026-09-05T18:47:33.811Z info request_completed request_id="req_gem16_7d58b5e7d4a181d6aa9ce7850269ea64" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.774000" queue_wait_ms="0.000000" request_bytes="6971"
2026-09-05T18:47:34.144Z info request_completed request_id="req_gem16_8dd6d21caaa68b78dc6d9566356c5511" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.269000" queue_wait_ms="0.000000" request_bytes="985"
2026-09-05T18:47:34.368Z info request_completed request_id="req_gem16_2316c610fbffe5e5f600c28f1732fb2f" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.298000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T18:47:34.518Z info request_completed request_id="req_gem16_3282e47203ffc4e9edaf545ac6788790" method="POST" route="/v1/responses" status="200" duration_ms="111.315000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T18:47:34.687Z info request_completed request_id="req_gem16_09524d96672fce896dd60a8e657ba09f" method="POST" route="/v1/responses" status="200" duration_ms="167.163000" queue_wait_ms="0.000000" request_bytes="3504"
