2026-09-05T18:51:29.625Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18085"
2026-09-05T18:51:37.334Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="6922.262300"
2026-09-05T18:51:37.389Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-05T18:51:37.390Z info server_ready host="127.0.0.1" port="18085" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="7764"
2026-09-05T18:51:37.610Z info request_completed request_id="req_gem16_bedd4c63a35734482c29b6ca3d72c757" method="POST" route="/v1/chat/completions" status="200" duration_ms="106.814000" queue_wait_ms="0.000000" request_bytes="152"
2026-09-05T18:51:37.757Z info request_completed request_id="req_gem16_41bedca8bb26340a75a13864c49e2b9a" method="POST" route="/v1/chat/completions" status="200" duration_ms="113.825000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:37.900Z info request_completed request_id="req_gem16_be565813768512ea39bd2185879d9ece" method="POST" route="/v1/chat/completions" status="200" duration_ms="113.905000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:37.982Z info request_completed request_id="req_gem16_9b327ac9876d62914aa0e2688f80a016" method="POST" route="/v1/chat/completions" status="200" duration_ms="55.843000" queue_wait_ms="0.000000" request_bytes="240"
2026-09-05T18:51:38.119Z info request_completed request_id="req_gem16_d0eae3053dcc28e545cee4ea14c05729" method="POST" route="/v1/chat/completions" status="200" duration_ms="114.023000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:38.179Z info request_completed request_id="req_gem16_b9cb7e7d70d913be6caeae870c2fef06" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.424000" queue_wait_ms="0.000000" request_bytes="151"
2026-09-05T18:51:38.387Z info request_completed request_id="req_gem16_d618bd4eb64a66cd2a0d5cd0bf80852e" method="POST" route="/v1/chat/completions" status="200" duration_ms="116.307000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:38.525Z info request_completed request_id="req_gem16_a767188edc42d769ec4ee9a53c185f8e" method="POST" route="/v1/chat/completions" status="200" duration_ms="114.046000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:38.538Z info request_completed request_id="req_gem16_6f84648dc8521923e80c4a574cdd4ea6" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.043000" queue_wait_ms="0.000000" request_bytes="239"
2026-09-05T18:51:38.712Z info request_completed request_id="req_gem16_b3b32ee8ded0b73c3423308fed91b9f8" method="POST" route="/v1/chat/completions" status="200" duration_ms="114.966000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:38.834Z info request_completed request_id="req_gem16_d0904ab89a5a6bbae8e3506403bfcfb5" method="POST" route="/v1/responses" status="200" duration_ms="118.315000" queue_wait_ms="0.000000" request_bytes="119"
2026-09-05T18:51:38.970Z info request_completed request_id="req_gem16_3bcc9f8292128478979584206b2324ec" method="POST" route="/v1/chat/completions" status="200" duration_ms="119.218000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:39.127Z info request_completed request_id="req_gem16_e3f602a1cf27a8c4ade28c48c925a273" method="POST" route="/v1/responses" status="200" duration_ms="121.979000" queue_wait_ms="0.000000" request_bytes="102"
2026-09-05T18:51:39.187Z info request_completed request_id="req_gem16_748fa1181e14acf194c9ddb41013bf5d" method="POST" route="/v1/responses" status="200" duration_ms="57.575000" queue_wait_ms="0.000000" request_bytes="190"
2026-09-05T18:51:39.346Z info request_completed request_id="req_gem16_041d6132e88dec489e497b291cc7806b" method="POST" route="/v1/chat/completions" status="200" duration_ms="122.779000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:39.445Z info request_completed request_id="req_gem16_cdb80cf6df20645d81eefee161137bd8" method="POST" route="/v1/responses" status="200" duration_ms="49.806000" queue_wait_ms="0.000000" request_bytes="118"
2026-09-05T18:51:39.671Z info request_completed request_id="req_gem16_4f8a313291a54bd7d8c82bee79a5e75f" method="POST" route="/v1/chat/completions" status="200" duration_ms="121.418000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:39.808Z info request_completed request_id="req_gem16_26a2ba09f6302979fadde3ea6d52bb5d" method="POST" route="/v1/responses" status="200" duration_ms="117.408000" queue_wait_ms="0.000000" request_bytes="102"
2026-09-05T18:51:39.845Z info request_completed request_id="req_gem16_ef4f2d69cba53056f881b84b9615495e" method="POST" route="/v1/responses" status="200" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="189"
2026-09-05T18:51:40.057Z info request_completed request_id="req_gem16_fd3cce0099a4b766cc1072307cbe7fe5" method="POST" route="/v1/chat/completions" status="200" duration_ms="118.315000" queue_wait_ms="0.000000" request_bytes="135"
