2026-09-05T18:51:40.251Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18085"
2026-09-05T18:51:52.993Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11852.892200"
2026-09-05T18:51:53.006Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-05T18:51:53.017Z info server_ready host="127.0.0.1" port="18085" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12766"
2026-09-05T18:51:53.326Z info request_completed request_id="req_gem16_8caec2f02075ddce7510f7dfbc219016" method="POST" route="/v1/chat/completions" status="200" duration_ms="161.435000" queue_wait_ms="0.000000" request_bytes="152"
2026-09-05T18:51:53.412Z info request_completed request_id="req_gem16_206726b7e8390076f0a18884aeb9846d" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.890000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:53.505Z info request_completed request_id="req_gem16_9e5568d90940c185570a54b64139c563" method="POST" route="/v1/chat/completions" status="200" duration_ms="56.662000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:53.588Z info request_completed request_id="req_gem16_5ee1c45bc2f9bb59d8b010468ab7b142" method="POST" route="/v1/chat/completions" status="200" duration_ms="44.177000" queue_wait_ms="0.000000" request_bytes="240"
2026-09-05T18:51:53.679Z info request_completed request_id="req_gem16_e76a9605d4c335a61c532b4e618066b8" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.173000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:53.726Z info request_completed request_id="req_gem16_8f69ae0f63805712f13e4f377b7fc985" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.046000" queue_wait_ms="0.000000" request_bytes="151"
2026-09-05T18:51:53.854Z info request_completed request_id="req_gem16_1c8b8722d51eba31a68b5cd6f6b5b2cb" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.864000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:53.947Z info request_completed request_id="req_gem16_0c364146d0a5c384b994e86f6c668943" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.240000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:53.984Z info request_completed request_id="req_gem16_c819b345a8271d54ff0900ba240c2d3f" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.076000" queue_wait_ms="0.000000" request_bytes="239"
2026-09-05T18:51:54.105Z info request_completed request_id="req_gem16_dd1b8baa45f3313d0c61c345ed11e04b" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.349000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:54.198Z info request_completed request_id="req_gem16_63950cc1a319b1da9a3353e49b61b60e" method="POST" route="/v1/responses" status="200" duration_ms="57.094000" queue_wait_ms="0.000000" request_bytes="119"
2026-09-05T18:51:54.257Z info request_completed request_id="req_gem16_e42cc1ce1dd1dc2b8f0d073967bbd0db" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.192000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:54.355Z info request_completed request_id="req_gem16_18a54b9cd1b4f1a46e3d3b66b6da02a8" method="POST" route="/v1/responses" status="200" duration_ms="58.203000" queue_wait_ms="0.000000" request_bytes="102"
2026-09-05T18:51:54.435Z info request_completed request_id="req_gem16_0d3f41591990f2022a01705631676982" method="POST" route="/v1/responses" status="200" duration_ms="44.425000" queue_wait_ms="0.000000" request_bytes="190"
2026-09-05T18:51:54.527Z info request_completed request_id="req_gem16_16ae8f691e61545442b93c94e983fd5d" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.388000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:54.573Z info request_completed request_id="req_gem16_29455898dc6a2cec57b8f87bf0aae624" method="POST" route="/v1/responses" status="200" duration_ms="10.479000" queue_wait_ms="0.000000" request_bytes="118"
2026-09-05T18:51:54.711Z info request_completed request_id="req_gem16_b22deed53ebcc21ed228082d6da344b8" method="POST" route="/v1/chat/completions" status="200" duration_ms="56.660000" queue_wait_ms="0.000000" request_bytes="135"
2026-09-05T18:51:54.770Z info request_completed request_id="req_gem16_c0084edc83ff4b9703e7346547670fb1" method="POST" route="/v1/responses" status="200" duration_ms="57.025000" queue_wait_ms="0.000000" request_bytes="102"
2026-09-05T18:51:54.797Z info request_completed request_id="req_gem16_987ea2476f0e87d0e95583eba2f56aa6" method="POST" route="/v1/responses" status="200" duration_ms="0.075000" queue_wait_ms="0.000000" request_bytes="189"
2026-09-05T18:51:54.933Z info request_completed request_id="req_gem16_efc2440c47be227fad0f863a1a8fb1da" method="POST" route="/v1/chat/completions" status="200" duration_ms="57.778000" queue_wait_ms="0.000000" request_bytes="135"
