2026-09-05T18:26:42.333Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T18:26:54.741Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11623.183000"
2026-09-05T18:26:54.754Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-05T18:26:54.755Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12422"
2026-09-05T18:26:56.750Z info request_completed request_id="req_gem16_127c6cd923ddb69181d6845b9be2eb13" method="POST" route="/v1/responses" status="200" duration_ms="233.830000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T18:26:56.957Z info request_completed request_id="req_gem16_89e272388797bcdeb824db3793efc14f" method="POST" route="/v1/responses" status="200" duration_ms="141.899000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T18:26:56.969Z info request_completed request_id="req_gem16_6cc2cdeab31ee6e940cf8ef792aadd8a" method="POST" route="/v1/responses" status="200" duration_ms="8.981000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T18:26:57.143Z info request_completed request_id="req_gem16_10fda664a2f614f2834dc7bcd325126a" method="POST" route="/v1/responses" status="200" duration_ms="10.256000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T18:26:57.389Z info request_completed request_id="req_gem16_bd998718f63fdd21e41e3667ed1de481" method="POST" route="/v1/chat/completions" status="200" duration_ms="108.507000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T18:26:57.597Z info request_completed request_id="req_gem16_985be80adaf0103003227b4f08bbc527" method="POST" route="/v1/chat/completions" status="200" duration_ms="202.318000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-05T18:26:57.962Z info request_completed request_id="req_gem16_86301cbbc56d6750904df80a9b73cb65" method="POST" route="/v1/chat/completions" status="200" duration_ms="355.295000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-05T18:26:58.073Z info request_completed request_id="req_gem16_80152e98048b47597b5ceaac77c84469" method="POST" route="/v1/chat/completions" status="200" duration_ms="109.105000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T18:26:58.278Z info request_completed request_id="req_gem16_403c940bc55c0ebba8f6bc871dd34ece" method="POST" route="/v1/chat/completions" status="200" duration_ms="203.166000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T18:26:58.644Z info request_completed request_id="req_gem16_8a5438015e79c7477137415514a2feae" method="POST" route="/v1/chat/completions" status="200" duration_ms="363.823000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T18:26:58.868Z info request_completed request_id="req_gem16_bcec9bbcebb554bcc956a704e21d51ab" method="POST" route="/v1/chat/completions" status="200" duration_ms="222.480000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T18:26:58.917Z info request_completed request_id="req_gem16_e3eedd6e61bf70bd2473e74523019c60" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.737000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T18:26:58.927Z info request_completed request_id="req_gem16_b45eab00ccc5b45a44fa59c6394f71e7" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.897000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T18:26:59.058Z info request_completed request_id="req_gem16_e69ae8119a5c83c51ab274fb94cba18c" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.015000" queue_wait_ms="0.000000" request_bytes="3912"
2026-09-05T18:26:59.276Z info request_completed request_id="req_gem16_322e35c37ae32da7e9337cb4704d1a43" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.551000" queue_wait_ms="0.000000" request_bytes="7228"
2026-09-05T18:26:59.650Z info request_completed request_id="req_gem16_86e8a6c9c0964808653f31e9da7c3036" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.482000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T18:26:59.777Z info request_completed request_id="req_gem16_bb56ed0ebf3407252674660bcfd5f756" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.208000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T18:26:59.999Z info request_completed request_id="req_gem16_e7cbc5e6e98d12ea6c79ace779453488" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.099000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T18:27:00.376Z info request_completed request_id="req_gem16_594ae49f43d7fd3196e1fd934c2d7f88" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.584000" queue_wait_ms="0.000000" request_bytes="987"
