2026-09-05T18:19:16.980Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T18:19:23.165Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5389.667600"
2026-09-05T18:19:23.217Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-05T18:19:23.218Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6237"
2026-09-05T18:19:25.897Z info request_completed request_id="req_gem16_1b933cca621e1878d24d12b12efc9480" method="POST" route="/v1/responses" status="200" duration_ms="173.337000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T18:19:26.206Z info request_completed request_id="req_gem16_b230e0b48b2b236d855010f743cafc0d" method="POST" route="/v1/responses" status="200" duration_ms="243.383000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T18:19:26.254Z info request_completed request_id="req_gem16_7775c0e9813db710ec9c5753d62bac37" method="POST" route="/v1/responses" status="200" duration_ms="44.447000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T18:19:26.502Z info request_completed request_id="req_gem16_ff7151b67ee8044c9f4eaad44d960a5c" method="POST" route="/v1/responses" status="200" duration_ms="45.763000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T18:19:26.976Z info request_completed request_id="req_gem16_e8e5484a02fdd216fef20119f3fbcbff" method="POST" route="/v1/chat/completions" status="200" duration_ms="269.779000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T18:19:27.462Z info request_completed request_id="req_gem16_a6fd0270cd02712f34d871057ebfcb71" method="POST" route="/v1/chat/completions" status="200" duration_ms="480.245000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-05T18:19:27.645Z info request_completed request_id="req_gem16_5c51076178b96b76f86ddef720d84827" method="POST" route="/v1/chat/completions" status="200" duration_ms="181.242000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T18:19:27.990Z info request_completed request_id="req_gem16_59042ce3a9c8a87c5633316b321523b5" method="POST" route="/v1/chat/completions" status="200" duration_ms="343.513000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T18:19:28.474Z info request_completed request_id="req_gem16_139d68e60f02d6a4135d5ae3802a7680" method="POST" route="/v1/chat/completions" status="200" duration_ms="482.540000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T18:19:28.862Z info request_completed request_id="req_gem16_3f12c6fd66c38a69bf99698886341673" method="POST" route="/v1/chat/completions" status="200" duration_ms="385.851000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T18:19:28.954Z info request_completed request_id="req_gem16_531adf2dc92f9d579c1db930505a551b" method="POST" route="/v1/chat/completions" status="200" duration_ms="90.272000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T18:19:29.001Z info request_completed request_id="req_gem16_4490a3ea68759d837e2f8b2e1c124540" method="POST" route="/v1/chat/completions" status="200" duration_ms="44.657000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T18:19:29.297Z info request_completed request_id="req_gem16_e2332522f9be3ca6e9d8311e152c6c2e" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.281000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-05T18:19:29.802Z info request_completed request_id="req_gem16_5f65b91720a4b8adee37bdba8c543469" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.695000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T18:19:30.005Z info request_completed request_id="req_gem16_d52be900c553b41c9bc56b572dd26080" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.365000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T18:19:30.366Z info request_completed request_id="req_gem16_1f8fb3b197f256cce94c2def03d4af5a" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.101000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T18:19:30.873Z info request_completed request_id="req_gem16_42f97887f93d9c684a4f66d1e575403c" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.962000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-05T18:19:31.283Z info request_completed request_id="req_gem16_232e9312434fdab7727e16c75a61ca0e" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.109000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T18:19:31.619Z info request_completed request_id="req_gem16_3d10b387f8fa5e02f8adf3a1a38353c8" method="POST" route="/v1/responses" status="200" duration_ms="270.456000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T18:19:32.039Z info request_completed request_id="req_gem16_882c8345c57515990e6a58609f854add" method="POST" route="/v1/responses" status="200" duration_ms="418.238000" queue_wait_ms="0.000000" request_bytes="6813"
2026-09-05T18:19:32.041Z warning request_completed request_id="req_gem16_255dbfcb2ebee633cf4149b3e69b432f" method="POST" route="/v1/responses" status="404" duration_ms="0.068000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T18:19:32.253Z info request_completed request_id="req_gem16_a0f48fe23f69c1f63eb16b4ee6408ab1" method="POST" route="/v1/responses" status="200" duration_ms="188.602000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-05T18:19:32.535Z info request_completed request_id="req_gem16_c10150076e278e9efafdfba64f080bdb" method="POST" route="/v1/responses" status="200" duration_ms="279.346000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-05T18:19:32.892Z info request_completed request_id="req_gem16_2f84c303c0a39ab13446ba7051ca8cae" method="POST" route="/v1/responses" status="200" duration_ms="355.345000" queue_wait_ms="0.000000" request_bytes="3632"
