2026-09-05T16:39:50.489Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T16:39:56.131Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5283.623413"
2026-09-05T16:39:56.136Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2607611904" safety_margin_bytes="734003200"
2026-09-05T16:39:56.136Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="5646"
2026-09-05T16:39:56.814Z info request_completed request_id="req_gem16_c7dcdd739cb41fa03cb0271a813dbdf6" method="POST" route="/v1/responses" status="200" duration_ms="105.997000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T16:39:57.039Z info request_completed request_id="req_gem16_96c0d7a6bff769956851a6b273f4b7ce" method="POST" route="/v1/responses" status="200" duration_ms="140.207000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T16:39:57.048Z info request_completed request_id="req_gem16_832cb5cd76c16ba9d8a238bfceb37cf9" method="POST" route="/v1/responses" status="200" duration_ms="5.182000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T16:39:57.208Z info request_completed request_id="req_gem16_6d037f4e03e3978b51b7ea3fa60b180c" method="POST" route="/v1/responses" status="200" duration_ms="6.548000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T16:39:57.453Z info request_completed request_id="req_gem16_eeb9748ddd6666d69ad1bc90965dbb4f" method="POST" route="/v1/chat/completions" status="200" duration_ms="107.092000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T16:39:57.661Z info request_completed request_id="req_gem16_52f30ff6c3a8637631d881860689e579" method="POST" route="/v1/chat/completions" status="200" duration_ms="202.144000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-05T16:39:58.021Z info request_completed request_id="req_gem16_351f5c47f9863c7b591077ba5c9bb4ac" method="POST" route="/v1/chat/completions" status="200" duration_ms="358.473000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-05T16:39:58.130Z info request_completed request_id="req_gem16_93f62d2060e2b9534125c61a87758941" method="POST" route="/v1/chat/completions" status="200" duration_ms="106.546000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T16:39:58.335Z info request_completed request_id="req_gem16_70e03dffc6de6b3bb894d443ed883a8e" method="POST" route="/v1/chat/completions" status="200" duration_ms="203.751000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T16:39:58.701Z info request_completed request_id="req_gem16_f109032290f57337467ebfc1f87f35f7" method="POST" route="/v1/chat/completions" status="200" duration_ms="363.749000" queue_wait_ms="0.000000" request_bytes="7147"
