2026-09-05T16:18:31.074Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T16:18:34.214Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="2367.081654"
2026-09-05T16:18:34.231Z info execution_slots_admitted slot_bytes="1955896320" configured_slot_bytes="1955896320" session_limit="1" device_free_bytes="4329373696" safety_margin_bytes="734003200"
2026-09-05T16:18:34.231Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="3157"
2026-09-05T16:18:35.014Z info request_completed request_id="req_gem16_558e81ae4df168dc247540fec980df8e" method="POST" route="/v1/chat/completions" status="200" duration_ms="230.108000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T16:18:35.468Z info request_completed request_id="req_gem16_60b45d4c188593cb0af590dc91a425a4" method="POST" route="/v1/chat/completions" status="200" duration_ms="446.900000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-05T16:18:35.614Z info request_completed request_id="req_gem16_402bd1d51874b006948bfcddd8b8a823" method="POST" route="/v1/chat/completions" status="200" duration_ms="143.619000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T16:18:35.919Z info request_completed request_id="req_gem16_9309253b4f17b58628afc7b662af13b5" method="POST" route="/v1/chat/completions" status="200" duration_ms="303.896000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T16:18:36.380Z info request_completed request_id="req_gem16_87229a0c41f608d196cfedc226aec097" method="POST" route="/v1/chat/completions" status="200" duration_ms="458.393000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T16:18:36.735Z info request_completed request_id="req_gem16_a8e96cc5ceecfded07ad83026e980527" method="POST" route="/v1/chat/completions" status="200" duration_ms="353.560000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T16:18:36.791Z info request_completed request_id="req_gem16_98f9845afec4139a2a4d25aa9d43f88d" method="POST" route="/v1/chat/completions" status="200" duration_ms="55.054000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T16:18:36.805Z info request_completed request_id="req_gem16_e4f4cab61cd8d2529f1f8e5eb1eca011" method="POST" route="/v1/chat/completions" status="200" duration_ms="12.633000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T16:18:37.045Z info request_completed request_id="req_gem16_493178b3a0a8ed468f2d0694f2190a03" method="POST" route="/v1/chat/completions" status="200" duration_ms="13.569000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-05T16:18:37.501Z info request_completed request_id="req_gem16_2a19897f28f5f1a82161d5c5c73d5c1c" method="POST" route="/v1/chat/completions" status="200" duration_ms="14.880000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T16:18:37.652Z info request_completed request_id="req_gem16_5b9d07134e044828fb8d1bba5f459c53" method="POST" route="/v1/chat/completions" status="200" duration_ms="13.497000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T16:18:37.970Z info request_completed request_id="req_gem16_a35403ec9b7841c58628bb71cbb7eeea" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.977000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T16:18:38.437Z info request_completed request_id="req_gem16_0b234785ca847d5afaceb93756b98e7a" method="POST" route="/v1/chat/completions" status="200" duration_ms="18.155000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-05T16:18:38.801Z info request_completed request_id="req_gem16_a280eaa27c6d274e925ff639a71873e8" method="POST" route="/v1/chat/completions" status="200" duration_ms="18.369000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T16:18:39.123Z info request_completed request_id="req_gem16_6e9641d5b9f67eed4a24345520aa1600" method="POST" route="/v1/responses" status="200" duration_ms="246.477000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T16:18:39.642Z info request_completed request_id="req_gem16_879cf180ec51a4019875e46f3f3f08c0" method="POST" route="/v1/responses" status="200" duration_ms="421.333000" queue_wait_ms="0.000000" request_bytes="6813"
2026-09-05T16:18:39.643Z warning request_completed request_id="req_gem16_16b7bf38394bd0b984f64fead044b420" method="POST" route="/v1/responses" status="404" duration_ms="0.047000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T16:18:39.799Z info request_completed request_id="req_gem16_adc532cb6e9a55d3775b86eb3643cd60" method="POST" route="/v1/responses" status="200" duration_ms="154.797000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-05T16:18:40.081Z info request_completed request_id="req_gem16_d68ddbbc10c56a7b6c1b659806437424" method="POST" route="/v1/responses" status="200" duration_ms="279.894000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-05T16:18:40.441Z info request_completed request_id="req_gem16_d487e510fc8697f3afee321e687db0e0" method="POST" route="/v1/responses" status="200" duration_ms="357.745000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-05T16:18:40.442Z warning request_completed request_id="req_gem16_d755e58583cfdaa16f7f937133125450" method="POST" route="/v1/responses" status="404" duration_ms="0.034000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-05T16:18:40.804Z info request_completed request_id="req_gem16_b88412419b34c030a72472fd6e2cf453" method="POST" route="/v1/responses" status="200" duration_ms="360.112000" queue_wait_ms="0.000000" request_bytes="853"
2026-09-05T16:18:40.868Z info request_completed request_id="req_gem16_1dce4fe4951c69729df4ba22bbddecf5" method="POST" route="/v1/responses" status="200" duration_ms="61.832000" queue_wait_ms="0.000000" request_bytes="99"
2026-09-05T16:18:40.888Z info request_completed request_id="req_gem16_1f699cfb33e65f0c1c31a33acd66cc62" method="POST" route="/v1/responses" status="200" duration_ms="16.897000" queue_wait_ms="0.000000" request_bytes="537"
2026-09-05T16:18:41.172Z info request_completed request_id="req_gem16_f709b974a566d9929fb1c7f178cb8225" method="POST" route="/v1/responses" status="200" duration_ms="0.097000" queue_wait_ms="0.000000" request_bytes="6827"
2026-09-05T16:18:41.599Z warning request_completed request_id="req_gem16_a91a2d99ab950f199f1711da1170982e" method="POST" route="/v1/responses" status="404" duration_ms="0.057000" queue_wait_ms="0.000000" request_bytes="122"
