2026-09-05T16:10:16.422Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T16:10:22.608Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5783.441088"
2026-09-05T16:10:22.615Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2607611904" safety_margin_bytes="734003200"
2026-09-05T16:10:22.615Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="64" http_task_queue_limit="81" startup_ms="6193"
2026-09-05T16:10:23.237Z info request_completed request_id="req_gem16_c6bb834e4cf2263bf9514818a3650088" method="POST" route="/v1/chat/completions" status="200" duration_ms="110.083000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T16:10:23.449Z info request_completed request_id="req_gem16_4c5f506cf223589f51470682c490aef5" method="POST" route="/v1/chat/completions" status="200" duration_ms="206.284000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-05T16:10:23.814Z info request_completed request_id="req_gem16_4db48ad8ab74d0b3646a62cd9a170497" method="POST" route="/v1/chat/completions" status="200" duration_ms="362.943000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-05T16:10:23.923Z info request_completed request_id="req_gem16_7a16bbfa732f86f7119bb80bceff14bf" method="POST" route="/v1/chat/completions" status="200" duration_ms="107.930000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T16:10:24.129Z info request_completed request_id="req_gem16_b8939d9736519e36ea8ccf4ece0898a3" method="POST" route="/v1/chat/completions" status="200" duration_ms="204.030000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T16:10:24.496Z info request_completed request_id="req_gem16_5fd54badbfe27c1e0405ee0259b7c88e" method="POST" route="/v1/chat/completions" status="200" duration_ms="365.484000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T16:10:24.708Z info request_completed request_id="req_gem16_372755648b21497f9b44e8e69081c775" method="POST" route="/v1/chat/completions" status="200" duration_ms="210.929000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T16:10:24.749Z info request_completed request_id="req_gem16_b7a00cfb3b3d4c0880e81554e00a1b4c" method="POST" route="/v1/chat/completions" status="200" duration_ms="39.853000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T16:10:24.759Z info request_completed request_id="req_gem16_f4ddd9e5aabc1fda03e96ae708e3378e" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.409000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T16:10:24.876Z info request_completed request_id="req_gem16_83e447d861a97596cfb8ba39d0723972" method="POST" route="/v1/chat/completions" status="200" duration_ms="13.223000" queue_wait_ms="0.000000" request_bytes="3912"
