2026-09-05T17:33:42.835Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T17:33:45.424Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="2152.311461"
2026-09-05T17:33:45.440Z info execution_slots_admitted slot_bytes="1955896320" configured_slot_bytes="1955896320" session_limit="1" device_free_bytes="4329373696" safety_margin_bytes="734003200"
2026-09-05T17:33:45.440Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="2604"
2026-09-05T17:33:46.203Z info request_completed request_id="req_gem16_6483846fad76931c61c4c0fea5250e96" method="POST" route="/v1/responses" status="200" duration_ms="141.269000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T17:33:46.506Z info request_completed request_id="req_gem16_cc15d777387a8276024ba159ed576f72" method="POST" route="/v1/responses" status="200" duration_ms="208.086000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T17:33:46.527Z info request_completed request_id="req_gem16_2246d471958d219b1d6a0c8d807f8e49" method="POST" route="/v1/responses" status="200" duration_ms="17.190000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T17:33:46.735Z info request_completed request_id="req_gem16_c39cf43f296e1664bf5c05436c023112" method="POST" route="/v1/responses" status="200" duration_ms="16.865000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T17:33:47.169Z info request_completed request_id="req_gem16_517a3e08d4d413cb188409f665761d3a" method="POST" route="/v1/chat/completions" status="200" duration_ms="237.658000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T17:33:47.637Z info request_completed request_id="req_gem16_9448cfbfb328e6b94f8c5fe4e93d38c3" method="POST" route="/v1/chat/completions" status="200" duration_ms="461.772000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-05T17:33:47.795Z info request_completed request_id="req_gem16_046ba61aa7fc581e9079c0ef8629893e" method="POST" route="/v1/chat/completions" status="200" duration_ms="156.322000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T17:33:48.111Z info request_completed request_id="req_gem16_77a71257a71ebc9de5fb3e7f4ff97f1a" method="POST" route="/v1/chat/completions" status="200" duration_ms="315.169000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T17:33:48.573Z info request_completed request_id="req_gem16_25fa99467d039d77fc03d1bb16982624" method="POST" route="/v1/chat/completions" status="200" duration_ms="459.272000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T17:33:48.937Z info request_completed request_id="req_gem16_6c763a837ed2e4ed3ee38bec185ec40e" method="POST" route="/v1/chat/completions" status="200" duration_ms="361.468000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T17:33:48.998Z info request_completed request_id="req_gem16_b71b8a39b9df13dad1af24365dce2951" method="POST" route="/v1/chat/completions" status="200" duration_ms="59.298000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T17:33:49.018Z info request_completed request_id="req_gem16_56d314e9308e84e42d9bb640dd95f7cc" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.399000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T17:33:49.261Z info request_completed request_id="req_gem16_940149fd8347148a8bdfaf921d8c8172" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.618000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-05T17:33:49.725Z info request_completed request_id="req_gem16_cb974d2faf6dcb13cdf702e2d44fa7f7" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.760000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T17:33:49.881Z info request_completed request_id="req_gem16_4666f49bb70a7d1c229d08c9640289ac" method="POST" route="/v1/chat/completions" status="200" duration_ms="17.816000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T17:33:50.201Z info request_completed request_id="req_gem16_0c2a5758dc9cba63d2bb2a0d6cc9e01a" method="POST" route="/v1/chat/completions" status="200" duration_ms="15.245000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T17:33:50.659Z info request_completed request_id="req_gem16_32df6fa401f32e6d4bf4870cab47c5bc" method="POST" route="/v1/chat/completions" status="200" duration_ms="14.464000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-05T17:33:51.015Z info request_completed request_id="req_gem16_897d6a1d0185d14977475572eec70e19" method="POST" route="/v1/chat/completions" status="200" duration_ms="14.027000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T17:33:51.292Z info request_completed request_id="req_gem16_eb9845136013e75af3ffe12a16bb7caa" method="POST" route="/v1/responses" status="200" duration_ms="235.558000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T17:33:51.716Z info request_completed request_id="req_gem16_26e1c9d5da47fcf200c60dc38ec8099d" method="POST" route="/v1/responses" status="200" duration_ms="422.365000" queue_wait_ms="0.000000" request_bytes="6813"
