2026-09-05T17:34:14.513Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18083"
2026-09-05T17:34:20.747Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5764.183887"
2026-09-05T17:34:20.754Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2607611904" safety_margin_bytes="734003200"
2026-09-05T17:34:20.754Z info server_ready host="127.0.0.1" port="18083" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6241"
2026-09-05T17:34:21.359Z info request_completed request_id="req_gem16_f16452167c74f14e14e0f3d4426e62b5" method="POST" route="/v1/responses" status="200" duration_ms="106.875000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-05T17:34:21.606Z info request_completed request_id="req_gem16_5a69a58893abd45e25c8f6e1ca74b031" method="POST" route="/v1/responses" status="200" duration_ms="143.437000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-05T17:34:21.617Z info request_completed request_id="req_gem16_ee29ee6cb51135b14feb5fb7f50f8f26" method="POST" route="/v1/responses" status="200" duration_ms="7.580000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-05T17:34:21.784Z info request_completed request_id="req_gem16_826be19460f40d757c849bd6e85161f7" method="POST" route="/v1/responses" status="200" duration_ms="8.685000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-05T17:34:22.032Z info request_completed request_id="req_gem16_75e552b3db19e43bea1af549de7891dc" method="POST" route="/v1/chat/completions" status="200" duration_ms="108.700000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-05T17:34:22.243Z info request_completed request_id="req_gem16_5a2331a7e91ceafe953ae2f82f720aa9" method="POST" route="/v1/chat/completions" status="200" duration_ms="205.524000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-05T17:34:22.608Z info request_completed request_id="req_gem16_dae0059ff7241acc47a08650f59eb3c4" method="POST" route="/v1/chat/completions" status="200" duration_ms="362.212000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-05T17:34:22.718Z info request_completed request_id="req_gem16_f7ebc283b5c771d9cade14be9aba3be5" method="POST" route="/v1/chat/completions" status="200" duration_ms="108.636000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-05T17:34:22.926Z info request_completed request_id="req_gem16_59b33c3bd4301e43e7c15b991cc185d6" method="POST" route="/v1/chat/completions" status="200" duration_ms="206.285000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-05T17:34:23.295Z info request_completed request_id="req_gem16_f190357b1ea43860e38d0253a0ed219c" method="POST" route="/v1/chat/completions" status="200" duration_ms="366.976000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-05T17:34:23.514Z info request_completed request_id="req_gem16_0778bf4924c01f2ddc0a3d34532f97a8" method="POST" route="/v1/chat/completions" status="200" duration_ms="216.206000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-05T17:34:23.561Z info request_completed request_id="req_gem16_19db850b0fffa143e948ae2867cff016" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.183000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-05T17:34:23.570Z info request_completed request_id="req_gem16_b76a99b04583e271dce32ef508e31745" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.145000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-05T17:34:23.681Z info request_completed request_id="req_gem16_fdd1292f00ea38bafd6abf11329df291" method="POST" route="/v1/chat/completions" status="200" duration_ms="8.192000" queue_wait_ms="0.000000" request_bytes="3912"
2026-09-05T17:34:23.887Z info request_completed request_id="req_gem16_7c1be2d616c629715459a2a586a01f1d" method="POST" route="/v1/chat/completions" status="200" duration_ms="6.068000" queue_wait_ms="0.000000" request_bytes="7228"
2026-09-05T17:34:24.248Z info request_completed request_id="req_gem16_bdb46d84865aab3ef973341e3d4e1b1b" method="POST" route="/v1/chat/completions" status="200" duration_ms="6.241000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-05T17:34:24.356Z info request_completed request_id="req_gem16_30fdb16d737aaca288a9ab9be95ae2f0" method="POST" route="/v1/chat/completions" status="200" duration_ms="5.701000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-05T17:34:24.563Z info request_completed request_id="req_gem16_524e4012a06c0841d41b686b95b3c88a" method="POST" route="/v1/chat/completions" status="200" duration_ms="5.895000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-05T17:34:24.929Z info request_completed request_id="req_gem16_76b3d9d7c3dfcb9b34b4d5b095d79ac7" method="POST" route="/v1/chat/completions" status="200" duration_ms="6.016000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-05T17:34:25.144Z info request_completed request_id="req_gem16_705c8fd4f98bc10a22f0652afa51db90" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.187000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-05T17:34:25.289Z info request_completed request_id="req_gem16_6c4a952fc4e57bcc629cf964f01beebe" method="POST" route="/v1/responses" status="200" duration_ms="107.423000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-05T17:34:25.475Z info request_completed request_id="req_gem16_d6a149d3bfc37f870028c1c3faf797b2" method="POST" route="/v1/responses" status="200" duration_ms="183.900000" queue_wait_ms="0.000000" request_bytes="3634"
