WARNING: lifecycle fault-injection test executable; not a product server
{"timestamp":"2026-09-12T08:08:17.498Z","level":"info","event":"server_starting","version":"0.2.0-dev-fault-test","model":"gem16","host":"127.0.0.1","port":"18087"}
{"timestamp":"2026-09-12T08:08:24.906Z","level":"info","event":"model_loaded","variant":"gemma4_unified_12b","native_path":"gemma4_unified_12b_sm120","weight_load_path":"canonical_safetensors_runtime_layout","weight_bytes":"9304895488","assistant_weight_bytes":"0","load_ms":"6610.650400"}
{"timestamp":"2026-09-12T08:08:24.959Z","level":"info","event":"execution_slots_admitted","slot_bytes":"2069889024","configured_slot_bytes":"4139778048","session_limit":"2","device_free_bytes":"4423942144","safety_margin_bytes":"734003200"}
{"timestamp":"2026-09-12T08:08:24.970Z","level":"info","event":"server_ready","host":"127.0.0.1","port":"18087","model":"gem16","session_limit":"2","max_queued_requests":"2","http_task_queue_limit":"20","startup_ms":"7472"}
{"timestamp":"2026-09-12T08:08:25.291Z","level":"info","event":"request_completed","request_id":"req_gem16_800297a0fc6fd8747c941caa15518087","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"90.623000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.397Z","level":"error","event":"request_completed","request_id":"req_gem16_a69431be7227ccdd74135abad8b0d9c1","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30002.192000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.413Z","level":"error","event":"request_completed","request_id":"req_gem16_ad460804fbf35521e4af15d816ed3a88","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30007.946000","queue_wait_ms":"29991.987000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.413Z","level":"error","event":"request_completed","request_id":"req_gem16_cd5b5c39787ec008af9463028f3dafc8","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30008.159000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.440Z","level":"warning","event":"request_completed","request_id":"req_gem16_9ded3c68432b6b3c20c5e9fb35e5ada4","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"30129.141000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.789Z","level":"info","event":"request_completed","request_id":"req_gem16_cf45588e9d8a456d6fbf9a735d27a3ab","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"313.736000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-12T08:08:55.854Z","level":"warning","event":"request_completed","request_id":"req_gem16_da19ecc6d9011b6edd1174f7fdd939cf","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"44.122000","queue_wait_ms":"0.000000","request_bytes":"2359629"}
{"timestamp":"2026-09-12T08:08:55.916Z","level":"warning","event":"request_completed","request_id":"req_gem16_b0690c836616df1c336ab1ed05661b0e","method":"POST","route":"/v1/responses","status":"409","duration_ms":"43.744000","queue_wait_ms":"0.000000","request_bytes":"2359626"}
{"timestamp":"2026-09-12T08:08:55.979Z","level":"warning","event":"request_completed","request_id":"req_gem16_6770fdc86735765a77d56442403631ef","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"44.897000","queue_wait_ms":"0.000000","request_bytes":"2359628"}
{"timestamp":"2026-09-12T08:08:56.040Z","level":"warning","event":"request_completed","request_id":"req_gem16_e58b47dce0116553ea254844b993e767","method":"POST","route":"/v1/responses","status":"409","duration_ms":"28.119000","queue_wait_ms":"0.000000","request_bytes":"2359625"}
