2026-09-12T08:43:13.734Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:43:19.604Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5156.760800"
2026-09-12T08:43:19.662Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-12T08:43:19.663Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="5929"
2026-09-12T08:43:21.858Z info request_completed request_id="req_gem16_2a80877051402e425ce61cf84f78e725" method="POST" route="/v1/responses" status="200" duration_ms="172.823000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-12T08:43:22.165Z info request_completed request_id="req_gem16_0f98ff2a14593c988bebaf179a79b7d1" method="POST" route="/v1/responses" status="200" duration_ms="234.521000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-12T08:43:22.219Z info request_completed request_id="req_gem16_a4ba9cbb80dd5e605ab5453249eda81a" method="POST" route="/v1/responses" status="200" duration_ms="40.377000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-12T08:43:22.459Z info request_completed request_id="req_gem16_26adbb4311291537edd8eba20569ee27" method="POST" route="/v1/responses" status="200" duration_ms="42.870000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-12T08:43:22.925Z info request_completed request_id="req_gem16_6b9f913dc5e6bc0d2289febca86a0aae" method="POST" route="/v1/chat/completions" status="200" duration_ms="264.069000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-12T08:43:23.404Z info request_completed request_id="req_gem16_77df022d1db693e5689a1791dd713dc8" method="POST" route="/v1/chat/completions" status="200" duration_ms="473.199000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-12T08:43:23.576Z info request_completed request_id="req_gem16_4a7ec26b2ae8190c014bd0304661d0e4" method="POST" route="/v1/chat/completions" status="200" duration_ms="171.000000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-12T08:43:23.911Z info request_completed request_id="req_gem16_cdfaa269f71221a808503d97497e614b" method="POST" route="/v1/chat/completions" status="200" duration_ms="333.624000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-12T08:43:24.387Z info request_completed request_id="req_gem16_1acae9dc86611ce5613cfb23b319c8ab" method="POST" route="/v1/chat/completions" status="200" duration_ms="473.818000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-12T08:43:24.763Z info request_completed request_id="req_gem16_9619c1b7219c328ea5847520d99a51e3" method="POST" route="/v1/chat/completions" status="200" duration_ms="374.824000" queue_wait_ms="0.000000" request_bytes="933"
