2026-09-12T08:53:13.072Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:53:19.073Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5188.204400"
2026-09-12T08:53:19.124Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-12T08:53:19.125Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6053"
2026-09-12T08:53:20.802Z info request_completed request_id="req_gem16_6c378558527689c97418ee69c90609d6" method="POST" route="/v1/chat/completions" status="200" duration_ms="33.236000" queue_wait_ms="0.000000" request_bytes="10959"
2026-09-12T08:53:21.254Z info request_completed request_id="req_gem16_371045e8265bd446ead7bd8c246e6c63" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.376000" queue_wait_ms="0.000000" request_bytes="16257"
2026-09-12T08:53:21.579Z info request_completed request_id="req_gem16_7da562109859309a6e1d334e1838b833" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.235000" queue_wait_ms="0.000000" request_bytes="21551"
2026-09-12T08:53:21.882Z info request_completed request_id="req_gem16_8689cb425fbda7d7f55f01560902e19f" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.013000" queue_wait_ms="0.000000" request_bytes="12020"
2026-09-12T08:53:24.086Z info request_completed request_id="req_gem16_274d6cc21a52e7c0a158de1b3ef81d5d" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.498000" queue_wait_ms="0.000000" request_bytes="12136"
2026-09-12T08:53:24.531Z info request_completed request_id="req_gem16_dc0a429cb4a77780f15315eb627e471a" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.995000" queue_wait_ms="0.000000" request_bytes="12193"
2026-09-12T08:53:25.006Z info request_completed request_id="req_gem16_e3b65928ba479c486322c3ddc78ffd91" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.572000" queue_wait_ms="0.000000" request_bytes="12279"
2026-09-12T08:53:25.436Z info request_completed request_id="req_gem16_38326f294d39f8826f28ee3c88b82d0e" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.040000" queue_wait_ms="0.000000" request_bytes="5828"
2026-09-12T08:53:25.725Z info request_completed request_id="req_gem16_e61aeed17d9a673da8a328dcb95d7cda" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.231000" queue_wait_ms="0.000000" request_bytes="31493"
2026-09-12T08:53:26.789Z info request_completed request_id="req_gem16_9c86e550c48eaa09ee64d8df10c0d6ea" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.946000" queue_wait_ms="0.000000" request_bytes="1557"
2026-09-12T08:53:27.889Z info request_completed request_id="req_gem16_4a8306c0069ab9556213d15e89745bf0" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.091000" queue_wait_ms="0.000000" request_bytes="32264"
2026-09-12T08:53:29.753Z warning request_completed request_id="req_gem16_5c825fca1169d61968ea90e7e1ad1e77" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.071000" queue_wait_ms="0.000000" request_bytes="90"
2026-09-12T08:53:29.768Z warning request_completed request_id="req_gem16_ff5a3a237c7b3961711033c63c068344" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.037000" queue_wait_ms="0.000000" request_bytes="84"
2026-09-12T08:53:29.784Z warning request_completed request_id="req_gem16_92eeaa230e302c0805652154ba662d2a" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.060000" queue_wait_ms="0.000000" request_bytes="82"
2026-09-12T08:53:29.785Z warning request_completed request_id="req_gem16_1c932dfc28ed8fb382232487172d4f6c" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.059000" queue_wait_ms="0.000000" request_bytes="410"
2026-09-12T08:53:29.799Z warning request_completed request_id="req_gem16_9b33f61c32cef6d6fcda786dd93658d8" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.106000" queue_wait_ms="0.000000" request_bytes="452"
2026-09-12T08:53:29.814Z warning request_completed request_id="req_gem16_d3c31b779311da9fc4a76108d3eab66f" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.099000" queue_wait_ms="0.000000" request_bytes="413"
2026-09-12T08:53:29.860Z warning request_completed request_id="req_gem16_f5d0a1eae1cc121d1be41a1313f8cdaf" method="POST" route="/v1/chat/completions" status="400" duration_ms="44.974000" queue_wait_ms="0.000000" request_bytes="143"
2026-09-12T08:53:29.876Z warning request_completed request_id="req_gem16_1fa09c3122d614b04ed83628b97ebc2c" method="POST" route="/v1/responses" status="400" duration_ms="0.084000" queue_wait_ms="0.000000" request_bytes="56"
2026-09-12T08:53:29.891Z warning request_completed request_id="req_gem16_8d2ea3fb6255be11c2e8cf8da6ebdf4c" method="POST" route="/v1/responses" status="400" duration_ms="0.060000" queue_wait_ms="0.000000" request_bytes="50"
2026-09-12T08:53:29.907Z warning request_completed request_id="req_gem16_413478a80406d0c4ca55b9d11efbab9c" method="POST" route="/v1/responses" status="400" duration_ms="0.053000" queue_wait_ms="0.000000" request_bytes="48"
2026-09-12T08:53:29.908Z warning request_completed request_id="req_gem16_155b5830a31ab1806a9005250b44a3c0" method="POST" route="/v1/responses" status="400" duration_ms="0.092000" queue_wait_ms="0.000000" request_bytes="362"
2026-09-12T08:53:29.922Z warning request_completed request_id="req_gem16_b88914b3c858beb4d39ccd31f3d7aac4" method="POST" route="/v1/responses" status="400" duration_ms="0.050000" queue_wait_ms="0.000000" request_bytes="390"
2026-09-12T08:53:29.938Z warning request_completed request_id="req_gem16_53b52e02dd292c7232b134de69f4befe" method="POST" route="/v1/responses" status="400" duration_ms="0.145000" queue_wait_ms="0.000000" request_bytes="365"
2026-09-12T08:53:29.985Z warning request_completed request_id="req_gem16_39ad99624c6296a70ab6ece4c29eda0e" method="POST" route="/v1/responses" status="400" duration_ms="45.372000" queue_wait_ms="0.000000" request_bytes="112"
2026-09-12T08:53:29.986Z warning request_completed request_id="req_gem16_777b29e116e792b32a1371952c19a78f" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="209"
2026-09-12T08:53:31.687Z info request_completed request_id="req_gem16_d2c4627a61d2a3f238df90507fefcbcf" method="POST" route="/v1/responses" status="200" duration_ms="1359.335000" queue_wait_ms="0.000000" request_bytes="118"
2026-09-12T08:53:31.752Z warning request_completed request_id="req_gem16_60a64ec9be97ffac2a259a2dd1ae4361" method="POST" route="/v1/responses" status="400" duration_ms="0.072000" queue_wait_ms="0.000000" request_bytes="840"
2026-09-12T08:53:31.965Z info request_completed request_id="req_gem16_4b476887367874a8652a0ba337862169" method="POST" route="/v1/chat/completions" status="200" duration_ms="187.085000" queue_wait_ms="0.000000" request_bytes="541"
2026-09-12T08:53:32.246Z info request_completed request_id="req_gem16_03ba06b2772d2e90d6fb5745e086574e" method="POST" route="/v1/chat/completions" status="200" duration_ms="274.927000" queue_wait_ms="0.000000" request_bytes="777"
2026-09-12T08:53:32.856Z info request_completed request_id="req_gem16_b8cd1465baf5377d4453c4a33adf89a1" method="POST" route="/v1/chat/completions" status="200" duration_ms="608.434000" queue_wait_ms="0.000000" request_bytes="16499"
2026-09-12T08:53:32.904Z info request_completed request_id="req_gem16_36f2f4cb20f538600484e11b01bdd09b" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.404000" queue_wait_ms="0.000000" request_bytes="595"
2026-09-12T08:53:33.103Z info request_completed request_id="req_gem16_50b0247d60f6f5a9fdd2ba5d14358b0c" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.299000" queue_wait_ms="0.000000" request_bytes="846"
2026-09-12T08:53:33.403Z info request_completed request_id="req_gem16_7eb53e63e8c6b619a477effa5079d93c" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.114000" queue_wait_ms="0.000000" request_bytes="16583"
2026-09-12T08:53:34.171Z info request_completed request_id="req_gem16_58e5727928bfbc2445a34e97c16eb4fa" method="POST" route="/v1/responses" status="200" duration_ms="183.679000" queue_wait_ms="0.000000" request_bytes="525"
2026-09-12T08:53:34.458Z info request_completed request_id="req_gem16_ae8cd3489c3223609960580295545a69" method="POST" route="/v1/responses" status="200" duration_ms="278.334000" queue_wait_ms="0.000000" request_bytes="809"
2026-09-12T08:53:35.073Z info request_completed request_id="req_gem16_c5fda4d854bf7101826059c07549738b" method="POST" route="/v1/responses" status="200" duration_ms="612.257000" queue_wait_ms="0.000000" request_bytes="16579"
2026-09-12T08:53:35.122Z info request_completed request_id="req_gem16_a78b421ea16ec375cd304cb901a9bbe2" method="POST" route="/v1/responses" status="200" duration_ms="47.100000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-12T08:53:35.372Z info request_completed request_id="req_gem16_778b996c77a68bc34a49f977583b392f" method="POST" route="/v1/responses" status="200" duration_ms="45.594000" queue_wait_ms="0.000000" request_bytes="823"
2026-09-12T08:53:35.651Z info request_completed request_id="req_gem16_65272b9e10dd2ccc1bcd13b491ad2e09" method="POST" route="/v1/responses" status="200" duration_ms="44.656000" queue_wait_ms="0.000000" request_bytes="16593"
