2026-09-12T08:53:36.556Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:53:48.964Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11633.586500"
2026-09-12T08:53:48.978Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-12T08:53:48.979Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12422"
2026-09-12T08:53:51.082Z info request_completed request_id="req_gem16_f1d8cb4255c2bab9a8e65342a3b27658" method="POST" route="/v1/chat/completions" status="200" duration_ms="30.073000" queue_wait_ms="0.000000" request_bytes="10959"
2026-09-12T08:53:51.705Z info request_completed request_id="req_gem16_15557e71316cefd911815d9e9e40c941" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.507000" queue_wait_ms="0.000000" request_bytes="16207"
2026-09-12T08:53:51.916Z info request_completed request_id="req_gem16_6f5a999e901f02a6207fa76b464a01b1" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.246000" queue_wait_ms="0.000000" request_bytes="21450"
2026-09-12T08:53:52.155Z info request_completed request_id="req_gem16_0f92117abc9aa8f8e7eda75f114479eb" method="POST" route="/v1/chat/completions" status="200" duration_ms="12.115000" queue_wait_ms="0.000000" request_bytes="11919"
2026-09-12T08:53:53.458Z info request_completed request_id="req_gem16_fcf3308e3af4a622f6cfb81d2d29b3d6" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.740000" queue_wait_ms="0.000000" request_bytes="12054"
2026-09-12T08:53:53.922Z info request_completed request_id="req_gem16_e4145f052c2107832b59cbb8198650eb" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.505000" queue_wait_ms="0.000000" request_bytes="12111"
2026-09-12T08:53:54.395Z info request_completed request_id="req_gem16_2187c1c3fd4b6bb7802cc846b2b9cee6" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.293000" queue_wait_ms="0.000000" request_bytes="12197"
2026-09-12T08:53:54.852Z info request_completed request_id="req_gem16_3a834bdd4b01dd613350195bf3ca7b42" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.117000" queue_wait_ms="0.000000" request_bytes="5828"
2026-09-12T08:53:55.115Z info request_completed request_id="req_gem16_7c5990644f6a56c55d1ab17bcdacee02" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.257000" queue_wait_ms="0.000000" request_bytes="31493"
2026-09-12T08:53:55.979Z info request_completed request_id="req_gem16_75afd47dfe5e560b13032959392f0e16" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.472000" queue_wait_ms="0.000000" request_bytes="1557"
2026-09-12T08:53:56.588Z info request_completed request_id="req_gem16_712e92233e77aa58ac4180443d8ed061" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.262000" queue_wait_ms="0.000000" request_bytes="32146"
2026-09-12T08:53:58.521Z warning request_completed request_id="req_gem16_8e9e1204e4f7e3d17edd22838435fca9" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.049000" queue_wait_ms="0.000000" request_bytes="90"
2026-09-12T08:53:58.523Z warning request_completed request_id="req_gem16_ec34804ef8e208844a43242d3ea1d514" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.043000" queue_wait_ms="0.000000" request_bytes="84"
2026-09-12T08:53:58.524Z warning request_completed request_id="req_gem16_47fac4b6d3fa4ebc09f12dbc5434338e" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.053000" queue_wait_ms="0.000000" request_bytes="82"
2026-09-12T08:53:58.525Z warning request_completed request_id="req_gem16_9c649a65392916e35fb8839650b053bc" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.061000" queue_wait_ms="0.000000" request_bytes="410"
2026-09-12T08:53:58.526Z warning request_completed request_id="req_gem16_be5c7591f133be80c3828f464664b81c" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.074000" queue_wait_ms="0.000000" request_bytes="452"
2026-09-12T08:53:58.549Z warning request_completed request_id="req_gem16_d5e095ce5e0a76d4409574e3e18af556" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.104000" queue_wait_ms="0.000000" request_bytes="413"
2026-09-12T08:53:58.574Z warning request_completed request_id="req_gem16_fb13fe104c51d19edc9fd7deddcdff58" method="POST" route="/v1/chat/completions" status="400" duration_ms="10.041000" queue_wait_ms="0.000000" request_bytes="143"
2026-09-12T08:53:58.575Z warning request_completed request_id="req_gem16_413c7a84b3a397147a834b48a105f523" method="POST" route="/v1/responses" status="400" duration_ms="0.054000" queue_wait_ms="0.000000" request_bytes="56"
2026-09-12T08:53:58.595Z warning request_completed request_id="req_gem16_cd5ad53344c28036f5f6c89823254551" method="POST" route="/v1/responses" status="400" duration_ms="0.043000" queue_wait_ms="0.000000" request_bytes="50"
2026-09-12T08:53:58.610Z warning request_completed request_id="req_gem16_5524266c7bedc8edbcd7cae6839701a3" method="POST" route="/v1/responses" status="400" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="48"
2026-09-12T08:53:58.626Z warning request_completed request_id="req_gem16_e8444d5f442e3d1ac66b87c51b106200" method="POST" route="/v1/responses" status="400" duration_ms="0.136000" queue_wait_ms="0.000000" request_bytes="362"
2026-09-12T08:53:58.627Z warning request_completed request_id="req_gem16_2118fef008a24d1940375b94992610c6" method="POST" route="/v1/responses" status="400" duration_ms="0.047000" queue_wait_ms="0.000000" request_bytes="390"
2026-09-12T08:53:58.628Z warning request_completed request_id="req_gem16_68a6f302dcda8bf90767724532d2d407" method="POST" route="/v1/responses" status="400" duration_ms="0.044000" queue_wait_ms="0.000000" request_bytes="365"
2026-09-12T08:53:58.636Z warning request_completed request_id="req_gem16_17a5874f43869602bf19a1b462a756b7" method="POST" route="/v1/responses" status="400" duration_ms="7.519000" queue_wait_ms="0.000000" request_bytes="112"
2026-09-12T08:53:58.637Z warning request_completed request_id="req_gem16_bd31bcd69f2ba74ee460878e84b260b2" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.061000" queue_wait_ms="0.000000" request_bytes="209"
2026-09-12T08:54:00.100Z info request_completed request_id="req_gem16_da530d52db34e2bea45084e12939b07c" method="POST" route="/v1/responses" status="200" duration_ms="1095.975000" queue_wait_ms="0.000000" request_bytes="118"
2026-09-12T08:54:00.170Z warning request_completed request_id="req_gem16_fe2c53afd51902289dc8cd22f415e684" method="POST" route="/v1/responses" status="400" duration_ms="0.090000" queue_wait_ms="0.000000" request_bytes="864"
2026-09-12T08:54:00.305Z info request_completed request_id="req_gem16_a55959007ef8a1d3b5d1caf1b49dec70" method="POST" route="/v1/chat/completions" status="200" duration_ms="106.892000" queue_wait_ms="0.000000" request_bytes="541"
2026-09-12T08:54:00.437Z info request_completed request_id="req_gem16_8d6c55434430321fc752b0929a6bac98" method="POST" route="/v1/chat/completions" status="200" duration_ms="128.091000" queue_wait_ms="0.000000" request_bytes="777"
2026-09-12T08:54:00.999Z info request_completed request_id="req_gem16_1612afd2c54dea65fafacbcd562a474b" method="POST" route="/v1/chat/completions" status="200" duration_ms="558.731000" queue_wait_ms="0.000000" request_bytes="16499"
2026-09-12T08:54:01.008Z info request_completed request_id="req_gem16_b1d76d46cc4ab1b439ce527ed3854f3e" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.077000" queue_wait_ms="0.000000" request_bytes="595"
2026-09-12T08:54:01.133Z info request_completed request_id="req_gem16_1d84bfeb8b07797c3c7cc7bef023b7ce" method="POST" route="/v1/chat/completions" status="200" duration_ms="7.121000" queue_wait_ms="0.000000" request_bytes="846"
2026-09-12T08:54:01.287Z info request_completed request_id="req_gem16_258f0109b6f057892885b46dab6816d3" method="POST" route="/v1/chat/completions" status="200" duration_ms="6.681000" queue_wait_ms="0.000000" request_bytes="16583"
2026-09-12T08:54:01.975Z info request_completed request_id="req_gem16_366ff7240a560b3ef775503fbb4574ef" method="POST" route="/v1/responses" status="200" duration_ms="114.017000" queue_wait_ms="0.000000" request_bytes="525"
2026-09-12T08:54:02.118Z info request_completed request_id="req_gem16_0ee255eacf6788995be6a6f1befb7007" method="POST" route="/v1/responses" status="200" duration_ms="134.483000" queue_wait_ms="0.000000" request_bytes="809"
2026-09-12T08:54:02.686Z info request_completed request_id="req_gem16_744407f5975cc5c60b34e324c4eb8013" method="POST" route="/v1/responses" status="200" duration_ms="562.319000" queue_wait_ms="0.000000" request_bytes="16579"
2026-09-12T08:54:02.694Z info request_completed request_id="req_gem16_45c0edbb464cf00b0166b4580763d2c6" method="POST" route="/v1/responses" status="200" duration_ms="6.937000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-12T08:54:02.879Z info request_completed request_id="req_gem16_8ff205111694c44fdfd6ce6d02098476" method="POST" route="/v1/responses" status="200" duration_ms="7.483000" queue_wait_ms="0.000000" request_bytes="823"
2026-09-12T08:54:03.012Z info request_completed request_id="req_gem16_5f9df0f8ca17e86e9763c6af3baf9826" method="POST" route="/v1/responses" status="200" duration_ms="6.979000" queue_wait_ms="0.000000" request_bytes="16593"
