2026-09-12T08:48:03.292Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:48:09.459Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5279.294900"
2026-09-12T08:48:09.514Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-12T08:48:09.516Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6223"
2026-09-12T08:48:11.202Z info request_completed request_id="req_gem16_35999d019a799c725fa7c826543aab79" method="POST" route="/v1/responses" status="200" duration_ms="173.022000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-12T08:48:11.515Z info request_completed request_id="req_gem16_65b3a0839bac265fafb251c129332fec" method="POST" route="/v1/responses" status="200" duration_ms="244.877000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-12T08:48:11.564Z info request_completed request_id="req_gem16_a331b9b88f6658dcdb0c4fa634f5727c" method="POST" route="/v1/responses" status="200" duration_ms="45.371000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-12T08:48:11.815Z info request_completed request_id="req_gem16_99c4ca22f08eda9be63ad8e1967a3826" method="POST" route="/v1/responses" status="200" duration_ms="46.067000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-12T08:48:12.302Z info request_completed request_id="req_gem16_592f23ae26d05acc5bf44f2c9cafbe6a" method="POST" route="/v1/chat/completions" status="200" duration_ms="273.756000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-12T08:48:12.798Z info request_completed request_id="req_gem16_981025ff760bdf14956c154429ec02ce" method="POST" route="/v1/chat/completions" status="200" duration_ms="490.900000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-12T08:48:12.984Z info request_completed request_id="req_gem16_c2913503a550f6721d0e62c4aa75c9f6" method="POST" route="/v1/chat/completions" status="200" duration_ms="184.081000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-12T08:48:13.331Z info request_completed request_id="req_gem16_754c69e0633c0348d1cfb0d72f68ccc9" method="POST" route="/v1/chat/completions" status="200" duration_ms="344.520000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-12T08:48:13.821Z info request_completed request_id="req_gem16_f5df50d36afdc9f327265723a12b140b" method="POST" route="/v1/chat/completions" status="200" duration_ms="488.047000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-12T08:48:14.213Z info request_completed request_id="req_gem16_38e6b0d30fed0f62aeff2682b4c4b6a0" method="POST" route="/v1/chat/completions" status="200" duration_ms="390.056000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-12T08:48:14.308Z info request_completed request_id="req_gem16_efe25633dfcec1ff0fbb202ec43bedaa" method="POST" route="/v1/chat/completions" status="200" duration_ms="93.633000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-12T08:48:14.357Z info request_completed request_id="req_gem16_037359aa59447143db2973a453691e5a" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.860000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-12T08:48:14.647Z info request_completed request_id="req_gem16_bff8f5c3cde63803114d3c2d230f0f2c" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.093000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-12T08:48:15.147Z info request_completed request_id="req_gem16_f96cd00755d8f0176c7b16a2c4753989" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.170000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-12T08:48:15.352Z info request_completed request_id="req_gem16_0d86582d1b914233d257115737b1cf3d" method="POST" route="/v1/chat/completions" status="200" duration_ms="46.118000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-12T08:48:15.720Z info request_completed request_id="req_gem16_5354c61879d484f86d66b58e2f82f680" method="POST" route="/v1/chat/completions" status="200" duration_ms="48.193000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-12T08:48:16.229Z info request_completed request_id="req_gem16_155f99e97c5b691d1537cf694d4906d1" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.696000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-12T08:48:16.644Z info request_completed request_id="req_gem16_09d4c6aa1b404337107a50a68bbc809c" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.592000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-12T08:48:16.984Z info request_completed request_id="req_gem16_c24ea39f70b5e884a132f655f8295fc9" method="POST" route="/v1/responses" status="200" duration_ms="275.622000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-12T08:48:17.405Z info request_completed request_id="req_gem16_ecfe562331e183b59b2defda3139200f" method="POST" route="/v1/responses" status="200" duration_ms="418.074000" queue_wait_ms="0.000000" request_bytes="6813"
2026-09-12T08:48:17.407Z warning request_completed request_id="req_gem16_e49f9d22134823559adbd81d50969f1f" method="POST" route="/v1/responses" status="404" duration_ms="0.065000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-12T08:48:17.618Z info request_completed request_id="req_gem16_ae9712fe7b93d661c680c8e12cb7acfb" method="POST" route="/v1/responses" status="200" duration_ms="184.588000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-12T08:48:17.899Z info request_completed request_id="req_gem16_c3d54afbbed8ad4435ceea2f2fdde00e" method="POST" route="/v1/responses" status="200" duration_ms="278.733000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-12T08:48:18.257Z info request_completed request_id="req_gem16_3c5da0c3b9df9b854e28835e88965568" method="POST" route="/v1/responses" status="200" duration_ms="355.890000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-12T08:48:18.259Z warning request_completed request_id="req_gem16_97809db56367bbeef2465c444f06af8c" method="POST" route="/v1/responses" status="404" duration_ms="0.045000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-12T08:48:18.665Z info request_completed request_id="req_gem16_d271175242581397da2348c45731d6b6" method="POST" route="/v1/responses" status="200" duration_ms="391.143000" queue_wait_ms="0.000000" request_bytes="853"
2026-09-12T08:48:18.761Z info request_completed request_id="req_gem16_c3edc4a42d632552f2f81426bcb08a90" method="POST" route="/v1/responses" status="200" duration_ms="94.024000" queue_wait_ms="0.000000" request_bytes="99"
2026-09-12T08:48:18.810Z info request_completed request_id="req_gem16_b39d14ce9bf37357ceaba7225bb88a34" method="POST" route="/v1/responses" status="200" duration_ms="47.006000" queue_wait_ms="0.000000" request_bytes="537"
2026-09-12T08:48:19.049Z info request_completed request_id="req_gem16_73326d2a3b4df6817fdb6b5a7b648d3b" method="POST" route="/v1/responses" status="200" duration_ms="0.097000" queue_wait_ms="0.000000" request_bytes="6827"
2026-09-12T08:48:19.470Z warning request_completed request_id="req_gem16_d024686c8021d3db0787dca26cc28e14" method="POST" route="/v1/responses" status="404" duration_ms="0.046000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-12T08:48:19.532Z info request_completed request_id="req_gem16_911712438b896d9937780a4994719182" method="POST" route="/v1/responses" status="200" duration_ms="48.349000" queue_wait_ms="0.000000" request_bytes="540"
2026-09-12T08:48:19.672Z info request_completed request_id="req_gem16_d8c94b5ff8a501f39af5b6fc0912bed8" method="POST" route="/v1/responses" status="200" duration_ms="0.088000" queue_wait_ms="0.000000" request_bytes="3648"
2026-09-12T08:48:19.954Z info request_completed request_id="req_gem16_99c4e374db7fdfdd208decdaa8dfb7e9" method="POST" route="/v1/responses" status="200" duration_ms="0.140000" queue_wait_ms="0.000000" request_bytes="3646"
2026-09-12T08:48:20.312Z warning request_completed request_id="req_gem16_8e7637dbf1ce66bdf90ef1125d101293" method="POST" route="/v1/responses" status="404" duration_ms="0.098000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-12T08:48:20.385Z info request_completed request_id="req_gem16_f39ea40009df93a8d1af92f9f136ae1b" method="POST" route="/v1/responses" status="200" duration_ms="47.611000" queue_wait_ms="0.000000" request_bytes="867"
2026-09-12T08:48:20.779Z info request_completed request_id="req_gem16_e99fdc471cdffe8acd23792e7aadf07f" method="POST" route="/v1/responses" status="200" duration_ms="47.653000" queue_wait_ms="0.000000" request_bytes="113"
2026-09-12T08:48:21.013Z info request_completed request_id="req_gem16_0a3cae8dd384d8fb3ca2db2af638cdb5" method="POST" route="/v1/responses" status="200" duration_ms="183.672000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-12T08:48:21.265Z info request_completed request_id="req_gem16_6ab9d7e61fc3ac254a21d080f3ed5fb7" method="POST" route="/v1/responses" status="200" duration_ms="249.670000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-12T08:48:21.314Z info request_completed request_id="req_gem16_f27e0e8804d63b1d0bc993e84825224b" method="POST" route="/v1/responses" status="200" duration_ms="47.146000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-12T08:48:21.504Z info request_completed request_id="req_gem16_e179c0fba74b529a1725fb0e7bd6dd7f" method="POST" route="/v1/responses" status="200" duration_ms="48.428000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-12T08:48:21.711Z warning request_completed request_id="req_gem16_d1e9888ca416fb552eee18786f2fefb2" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.046000" queue_wait_ms="0.000000" request_bytes="82"
2026-09-12T08:48:21.731Z warning request_completed request_id="req_gem16_cf0154d0aad7d4bc32e06d9bd0cd630b" method="POST" route="/v1/responses" status="400" duration_ms="0.080000" queue_wait_ms="0.000000" request_bytes="47"
2026-09-12T08:48:21.744Z warning request_completed request_id="req_gem16_284d7e704aa7833409d40673658a9cbe" method="POST" route="/v1/responses" status="400" duration_ms="0.059000" queue_wait_ms="0.000000" request_bytes="7"
2026-09-12T08:48:21.820Z warning request_completed request_id="req_gem16_913aeef88a601be2477bf018d3dbc003" method="POST" route="/v1/responses" status="400" duration_ms="57.446000" queue_wait_ms="0.000000" request_bytes="100080"
2026-09-12T08:48:21.902Z info request_completed request_id="req_gem16_be847f02aa76654ef15647de5c25b9b1" method="POST" route="/v1/responses" status="200" duration_ms="45.618000" queue_wait_ms="0.000000" request_bytes="156"
2026-09-12T08:48:21.952Z info request_completed request_id="req_gem16_35d592d7e2912b3c0a2e9a662ae8d930" method="POST" route="/v1/responses/([^/]+)/cancel" status="200" duration_ms="0.035000" queue_wait_ms="0.000000" request_bytes="0"
2026-09-12T08:48:22.106Z info request_completed request_id="req_gem16_5cc06a9a55e860feea020ce61f09d6b4" method="POST" route="/v1/responses" status="200" duration_ms="105.568000" queue_wait_ms="0.000000" request_bytes="95"
2026-09-12T08:48:22.173Z info request_completed request_id="req_gem16_0a93a74ab29af6f0aca50633247415d8" method="POST" route="/v1/responses" status="200" duration_ms="46.615000" queue_wait_ms="0.000000" request_bytes="156"
2026-09-12T08:48:22.390Z info request_completed request_id="req_gem16_833931c175d5ca4c3dad7a85a52a6f1c" method="POST" route="/v1/responses" status="200" duration_ms="105.051000" queue_wait_ms="0.000000" request_bytes="95"
2026-09-12T08:48:23.496Z info request_completed request_id="req_gem16_fd59a6bd471ba5f2557d86af6763c81e" method="POST" route="/v1/chat/completions" status="200" duration_ms="322.032000" queue_wait_ms="0.000000" request_bytes="539"
