2026-09-12T08:48:41.915Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:48:54.471Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11730.942400"
2026-09-12T08:48:54.485Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-12T08:48:54.486Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12570"
2026-09-12T08:48:56.187Z info request_completed request_id="req_gem16_42583293d03f9b66da18bf2e0ca656c0" method="POST" route="/v1/responses" status="200" duration_ms="248.554000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-12T08:48:56.397Z info request_completed request_id="req_gem16_70b67cd43f277f2d1967d167cde34d21" method="POST" route="/v1/responses" status="200" duration_ms="142.175000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-12T08:48:56.410Z info request_completed request_id="req_gem16_020aa5e37cf09ec0f7b6ff654d959feb" method="POST" route="/v1/responses" status="200" duration_ms="9.742000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-12T08:48:56.591Z info request_completed request_id="req_gem16_da16748633c97d16ca3e05f7579e48cd" method="POST" route="/v1/responses" status="200" duration_ms="10.739000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-12T08:48:56.838Z info request_completed request_id="req_gem16_2e426b9bc7269bf6d283a53444f90ca2" method="POST" route="/v1/chat/completions" status="200" duration_ms="110.083000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-12T08:48:57.048Z info request_completed request_id="req_gem16_9943806961e3aa83c3853a12c7c85083" method="POST" route="/v1/chat/completions" status="200" duration_ms="204.005000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-12T08:48:57.413Z info request_completed request_id="req_gem16_fbe7cd0e82e4275ef3d6e64ed3fba102" method="POST" route="/v1/chat/completions" status="200" duration_ms="363.327000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-12T08:48:57.529Z info request_completed request_id="req_gem16_bee35a9b33767e1cab2c02fb2fe94a0c" method="POST" route="/v1/chat/completions" status="200" duration_ms="113.601000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-12T08:48:57.741Z info request_completed request_id="req_gem16_3df573727f8c9d2209b4173cea0e953c" method="POST" route="/v1/chat/completions" status="200" duration_ms="209.506000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-12T08:48:58.108Z info request_completed request_id="req_gem16_ddef4ce453077cf5c10d0a1d4dfc7ead" method="POST" route="/v1/chat/completions" status="200" duration_ms="364.791000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-12T08:48:58.333Z info request_completed request_id="req_gem16_cb6b4a6233556e10954e0cd8dc432527" method="POST" route="/v1/chat/completions" status="200" duration_ms="223.207000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-12T08:48:58.382Z info request_completed request_id="req_gem16_3857a36edc83ba29d7c756de53cbd082" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.235000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-12T08:48:58.394Z info request_completed request_id="req_gem16_6884c4fcdf68777dd3fb2ce1fb1d840a" method="POST" route="/v1/chat/completions" status="200" duration_ms="9.952000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-12T08:48:58.526Z info request_completed request_id="req_gem16_92f7d1d059bbad2017f35ff832391af3" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.253000" queue_wait_ms="0.000000" request_bytes="3912"
2026-09-12T08:48:58.745Z info request_completed request_id="req_gem16_70a0f621e7914bbc09cd0ca52af09a0b" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.657000" queue_wait_ms="0.000000" request_bytes="7228"
2026-09-12T08:48:59.138Z info request_completed request_id="req_gem16_c7eda283af7fa16d34be2f44b18272fd" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.637000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-12T08:48:59.279Z info request_completed request_id="req_gem16_3becbd28090144c659900bf33c3dd8a2" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.873000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-12T08:48:59.513Z info request_completed request_id="req_gem16_9d1af0158afcd97e14705367af7e36ea" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.121000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-12T08:48:59.887Z info request_completed request_id="req_gem16_9bf90b9bea99245283c4b01d2fca26da" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.347000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-12T08:49:00.122Z info request_completed request_id="req_gem16_042d54c5193217b25f592cee745f0d6e" method="POST" route="/v1/chat/completions" status="200" duration_ms="11.388000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-12T08:49:00.285Z info request_completed request_id="req_gem16_d1f6ab227ca1519227d9f35fc4a1b8d1" method="POST" route="/v1/responses" status="200" duration_ms="111.704000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-12T08:49:00.468Z info request_completed request_id="req_gem16_29275c139e36e81ec93bfbee77ebcb61" method="POST" route="/v1/responses" status="200" duration_ms="180.755000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-12T08:49:00.734Z info request_completed request_id="req_gem16_aaf814c1a73dafa72b59cc2f4fdd29ef" method="POST" route="/v1/responses" status="200" duration_ms="264.092000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-12T08:49:00.736Z warning request_completed request_id="req_gem16_fcb33b04d9d7dfea71f2256bcc0f16ab" method="POST" route="/v1/responses" status="404" duration_ms="0.068000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-12T08:49:00.862Z info request_completed request_id="req_gem16_58ebf4eed1f68f2f30c18df8f477df22" method="POST" route="/v1/responses" status="200" duration_ms="110.672000" queue_wait_ms="0.000000" request_bytes="526"
