2026-09-12T08:51:06.046Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:51:12.203Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5374.862200"
2026-09-12T08:51:12.258Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-12T08:51:12.259Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6212"
2026-09-12T08:51:14.284Z info request_completed request_id="req_gem16_e64f8de0f68043f7f6ff55c3382f7f66" method="POST" route="/v1/chat/completions" status="200" duration_ms="33.578000" queue_wait_ms="0.000000" request_bytes="10959"
2026-09-12T08:51:14.790Z info request_completed request_id="req_gem16_4a2516f73b815eaa1ae6bb0a8848a456" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.213000" queue_wait_ms="0.000000" request_bytes="16262"
2026-09-12T08:51:15.086Z info request_completed request_id="req_gem16_8e546ffeca6f2b2094256f0b4e419fd6" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.221000" queue_wait_ms="0.000000" request_bytes="21568"
2026-09-12T08:51:15.439Z info request_completed request_id="req_gem16_0a560565b1c284e951e28b65dc2f8b3f" method="POST" route="/v1/chat/completions" status="200" duration_ms="48.652000" queue_wait_ms="0.000000" request_bytes="12037"
2026-09-12T08:51:17.550Z info request_completed request_id="req_gem16_ff07f9d0191611ec7321582df1d6abc3" method="POST" route="/v1/chat/completions" status="200" duration_ms="48.469000" queue_wait_ms="0.000000" request_bytes="12096"
2026-09-12T08:51:17.989Z info request_completed request_id="req_gem16_6363f9e8bd1dab8c0b6bdf38cf1b4601" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.104000" queue_wait_ms="0.000000" request_bytes="12153"
2026-09-12T08:51:18.472Z info request_completed request_id="req_gem16_9c8204b143ea953ada1d0eb002df6fba" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.620000" queue_wait_ms="0.000000" request_bytes="12239"
2026-09-12T08:51:18.912Z info request_completed request_id="req_gem16_b0dc2c766c4351c8f34e52258fb4a510" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.177000" queue_wait_ms="0.000000" request_bytes="5828"
2026-09-12T08:51:19.203Z info request_completed request_id="req_gem16_bddae704389aaf6da5f238413bcbde3c" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.631000" queue_wait_ms="0.000000" request_bytes="31493"
2026-09-12T08:51:20.246Z info request_completed request_id="req_gem16_5b83c63f423a34b667932829547e132e" method="POST" route="/v1/chat/completions" status="200" duration_ms="47.580000" queue_wait_ms="0.000000" request_bytes="1557"
