2026-09-12T08:49:51.263Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:49:57.224Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="5159.369600"
2026-09-12T08:49:57.277Z info execution_slots_admitted slot_bytes="1953799168" configured_slot_bytes="1953799168" session_limit="1" device_free_bytes="3704619008" safety_margin_bytes="734003200"
2026-09-12T08:49:57.278Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6014"
2026-09-12T08:49:58.998Z info request_completed request_id="req_gem16_03baf64a36d8beaea8a39fd70c9ad5c1" method="POST" route="/v1/chat/completions" status="200" duration_ms="32.607000" queue_wait_ms="0.000000" request_bytes="10959"
2026-09-12T08:49:59.518Z info request_completed request_id="req_gem16_ae8e9f30823da3bb3ca01e723e1f684c" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.216000" queue_wait_ms="0.000000" request_bytes="16291"
2026-09-12T08:49:59.815Z info request_completed request_id="req_gem16_c77b2967907d0844f13d4e5a0c00d590" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.236000" queue_wait_ms="0.000000" request_bytes="21594"
2026-09-12T08:50:00.117Z info request_completed request_id="req_gem16_c34c3a6543bc97f75b30296bf328771a" method="POST" route="/v1/chat/completions" status="200" duration_ms="44.001000" queue_wait_ms="0.000000" request_bytes="12063"
2026-09-12T08:50:02.391Z info request_completed request_id="req_gem16_106332d9770cc3ec5849537dec39a69e" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.215000" queue_wait_ms="0.000000" request_bytes="12140"
2026-09-12T08:50:02.827Z info request_completed request_id="req_gem16_77fec00d732c6b526404d9cd3d134157" method="POST" route="/v1/chat/completions" status="200" duration_ms="45.154000" queue_wait_ms="0.000000" request_bytes="12197"
2026-09-12T08:50:03.302Z info request_completed request_id="req_gem16_2469fa870e7a42e3e0997185fb9cc4ac" method="POST" route="/v1/chat/completions" status="200" duration_ms="44.449000" queue_wait_ms="0.000000" request_bytes="12283"
2026-09-12T08:50:03.730Z info request_completed request_id="req_gem16_507ffbf19c426cc58a7918c59ff2d31d" method="POST" route="/v1/chat/completions" status="200" duration_ms="44.886000" queue_wait_ms="0.000000" request_bytes="5828"
2026-09-12T08:50:04.018Z info request_completed request_id="req_gem16_9daa4c01c4566f94b38fcb8af5a8ed58" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.234000" queue_wait_ms="0.000000" request_bytes="31493"
2026-09-12T08:50:04.941Z info request_completed request_id="req_gem16_6aa682380f8db783cb44843448d7346c" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.232000" queue_wait_ms="0.000000" request_bytes="31756"
