2026-09-12T08:50:05.208Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18081"
2026-09-12T08:50:17.652Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="11641.346700"
2026-09-12T08:50:17.665Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="1982857216" safety_margin_bytes="734003200"
2026-09-12T08:50:17.666Z info server_ready host="127.0.0.1" port="18081" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="12457"
2026-09-12T08:50:19.766Z info request_completed request_id="req_gem16_a616805d546ea9648ab35cd11d8a6970" method="POST" route="/v1/chat/completions" status="200" duration_ms="30.057000" queue_wait_ms="0.000000" request_bytes="10959"
2026-09-12T08:50:20.414Z info request_completed request_id="req_gem16_58d191e516a2956d0deeeb5b0e9c449d" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.393000" queue_wait_ms="0.000000" request_bytes="16257"
2026-09-12T08:50:20.676Z info request_completed request_id="req_gem16_e08170d2b83ef5efef4a6c494106d455" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.394000" queue_wait_ms="0.000000" request_bytes="21561"
2026-09-12T08:50:20.949Z info request_completed request_id="req_gem16_dee20e7288a75807b195a116dd592c59" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.970000" queue_wait_ms="0.000000" request_bytes="12030"
2026-09-12T08:50:22.278Z info request_completed request_id="req_gem16_15f05d826e1985d49589a365d00edf18" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.606000" queue_wait_ms="0.000000" request_bytes="12131"
2026-09-12T08:50:22.768Z info request_completed request_id="req_gem16_3df6ad3a50db7c319f44cceafab915a9" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.520000" queue_wait_ms="0.000000" request_bytes="12188"
2026-09-12T08:50:23.232Z info request_completed request_id="req_gem16_370cbe0ef891ed78ce1e4e286feb196d" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.905000" queue_wait_ms="0.000000" request_bytes="12291"
2026-09-12T08:50:23.694Z info request_completed request_id="req_gem16_07c64a7d5a2eeebd8bccf05a95766d5b" method="POST" route="/v1/chat/completions" status="200" duration_ms="10.493000" queue_wait_ms="0.000000" request_bytes="5828"
2026-09-12T08:50:23.959Z info request_completed request_id="req_gem16_e7ba0b851498369a95bc6db602c1770a" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.236000" queue_wait_ms="0.000000" request_bytes="31493"
2026-09-12T08:50:24.808Z info request_completed request_id="req_gem16_452db9888a94c3b4f2e408cf18a5afb6" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.249000" queue_wait_ms="0.000000" request_bytes="31692"
