WARNING: lifecycle fault-injection test executable; not a product server
{"timestamp":"2026-09-21T17:02:44.603Z","level":"info","event":"server_starting","version":"0.2.0-dev-fault-test","model":"gem16","host":"127.0.0.1","port":"18087"}
{"timestamp":"2026-09-21T17:02:49.738Z","level":"info","event":"model_loaded","variant":"gemma4_unified_12b","native_path":"gemma4_unified_12b_sm120","weight_load_path":"canonical_safetensors_runtime_layout","weight_bytes":"9304895488","assistant_weight_bytes":"845714944","load_ms":"4529.057067"}
{"timestamp":"2026-09-21T17:02:49.756Z","level":"info","event":"execution_slots_admitted","slot_bytes":"2131071488","configured_slot_bytes":"4262142976","session_limit":"2","device_free_bytes":"4159897600","safety_margin_bytes":"734003200"}
{"timestamp":"2026-09-21T17:02:49.756Z","level":"info","event":"server_ready","host":"127.0.0.1","port":"18087","model":"gem16","session_limit":"2","max_queued_requests":"2","http_task_queue_limit":"20","startup_ms":"5152"}
{"timestamp":"2026-09-21T17:02:49.894Z","level":"info","event":"request_completed","request_id":"req_gem16_112a67c8059ad9ac61cfae6e72dd7b04","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"81.170000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:03:19.979Z","level":"error","event":"request_completed","request_id":"req_gem16_d8c7eb4a81cead356d5a84b2d9929a97","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.114000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:03:19.979Z","level":"error","event":"request_completed","request_id":"req_gem16_988d0b1446c6dd7882ea27f96b70244c","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.139000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:03:19.980Z","level":"error","event":"request_completed","request_id":"req_gem16_e38f7a69540b279c5e86b703dec99f0a","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.284000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:03:20.007Z","level":"warning","event":"request_completed","request_id":"req_gem16_e71ca12a66035372bf8c89df61b04121","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"30112.333000","queue_wait_ms":"0.000000","request_bytes":"161"}
{"timestamp":"2026-09-21T17:03:20.092Z","level":"info","event":"request_completed","request_id":"req_gem16_287afeced7dc8b5775e20057f2b7fd1d","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"78.918000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:03:20.115Z","level":"warning","event":"request_completed","request_id":"req_gem16_b470b3e701bce3bcba2a18097987b929","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.186000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:03:20.145Z","level":"warning","event":"request_completed","request_id":"req_gem16_46733467d48d942bed75e007f847bae7","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.202000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:03:20.173Z","level":"warning","event":"request_completed","request_id":"req_gem16_781af60d9a49bb02e82744d0379ea208","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.179000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:03:20.203Z","level":"warning","event":"request_completed","request_id":"req_gem16_af51ad5813b9231a4d9b6bab1f712048","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.187000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
