WARNING: lifecycle fault-injection test executable; not a product server
{"timestamp":"2026-09-21T17:00:17.163Z","level":"info","event":"server_starting","version":"0.2.0-dev-fault-test","model":"gem16","host":"127.0.0.1","port":"18087"}
{"timestamp":"2026-09-21T17:00:19.874Z","level":"info","event":"model_loaded","variant":"gemma4_unified_12b","native_path":"gemma4_unified_12b_sm120","weight_load_path":"canonical_safetensors_runtime_layout","weight_bytes":"9304895488","assistant_weight_bytes":"845714944","load_ms":"2196.066870"}
{"timestamp":"2026-09-21T17:00:19.891Z","level":"info","event":"execution_slots_admitted","slot_bytes":"2131071488","configured_slot_bytes":"4262142976","session_limit":"2","device_free_bytes":"4159897600","safety_margin_bytes":"734003200"}
{"timestamp":"2026-09-21T17:00:19.891Z","level":"info","event":"server_ready","host":"127.0.0.1","port":"18087","model":"gem16","session_limit":"2","max_queued_requests":"2","http_task_queue_limit":"20","startup_ms":"2727"}
{"timestamp":"2026-09-21T17:00:20.057Z","level":"info","event":"request_completed","request_id":"req_gem16_5155dd4cd65cc3425163719a5230dd9b","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"88.542000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:00:50.144Z","level":"error","event":"request_completed","request_id":"req_gem16_b8d88139ee23bc2c491cdbb95a898947","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.100000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:00:50.144Z","level":"error","event":"request_completed","request_id":"req_gem16_beb1dd0fb5bb1afb7d543d9ecd920de8","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.161000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:00:50.145Z","level":"error","event":"request_completed","request_id":"req_gem16_3c2920a16a83db5f67bec7023a827ebc","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30000.172000","queue_wait_ms":"29999.997000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:00:50.170Z","level":"warning","event":"request_completed","request_id":"req_gem16_e87ea588eb1a2dd7d08988030bc06b61","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"30112.171000","queue_wait_ms":"0.000000","request_bytes":"161"}
{"timestamp":"2026-09-21T17:00:50.260Z","level":"info","event":"request_completed","request_id":"req_gem16_0fc3cccbd9a9907d1915521878668b70","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"81.393000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:00:50.285Z","level":"warning","event":"request_completed","request_id":"req_gem16_1d1f7d2de55a00e4f9fe319b2bfaaa08","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.200000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:00:50.315Z","level":"warning","event":"request_completed","request_id":"req_gem16_f9c3d6d54736226a9eb402f48f930273","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.190000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:00:50.345Z","level":"warning","event":"request_completed","request_id":"req_gem16_4aa3f6a067bc9ef7a72a3c25bc4bd062","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.194000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:00:50.374Z","level":"warning","event":"request_completed","request_id":"req_gem16_f81b4acfe3ab4b5aff0f0a78da9050bc","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.163000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
