2026-09-21T17:37:32.293Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18091"
2026-09-21T17:37:34.854Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="2093.414599"
2026-09-21T17:37:34.870Z info execution_slots_admitted slot_bytes="1955896320" configured_slot_bytes="1955896320" session_limit="1" device_free_bytes="4327669760" safety_margin_bytes="734003200"
2026-09-21T17:37:34.870Z info server_ready host="127.0.0.1" port="18091" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="2577"
2026-09-21T17:37:35.699Z info request_completed request_id="req_gem16_2f1e693bf71365d7453e30dd4bc3db75" method="POST" route="/v1/responses" status="200" duration_ms="141.719000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-21T17:37:35.941Z info request_completed request_id="req_gem16_fc2044b952078b9294cb6d4a413f6522" method="POST" route="/v1/responses" status="200" duration_ms="181.511000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-21T17:37:35.946Z info request_completed request_id="req_gem16_4bcdc8ece0e9389ee54e6831532c34cf" method="POST" route="/v1/responses" status="200" duration_ms="0.522000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-21T17:37:36.149Z info request_completed request_id="req_gem16_60d5bf87356e6355aed89016c9c40cf4" method="POST" route="/v1/responses" status="200" duration_ms="0.574000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-21T17:37:36.543Z info request_completed request_id="req_gem16_27714fff05452b7bf670133f7e16b954" method="POST" route="/v1/chat/completions" status="200" duration_ms="206.737000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-21T17:37:36.984Z info request_completed request_id="req_gem16_0c8259ab6fa8ed6b079f19cd5f1bc763" method="POST" route="/v1/chat/completions" status="200" duration_ms="434.077000" queue_wait_ms="0.000000" request_bytes="7108"
2026-09-21T17:37:37.113Z info request_completed request_id="req_gem16_02baefb6c50ec94833d0ebf05acf1536" method="POST" route="/v1/chat/completions" status="200" duration_ms="127.410000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-21T17:37:37.406Z info request_completed request_id="req_gem16_e12c2463f638b676ad05073226d4023a" method="POST" route="/v1/chat/completions" status="200" duration_ms="290.102000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-21T17:37:37.843Z info request_completed request_id="req_gem16_e937a4740101ae05ebe292136be27fa9" method="POST" route="/v1/chat/completions" status="200" duration_ms="434.308000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-21T17:37:38.179Z info request_completed request_id="req_gem16_98b0053a5f19693e7730c02b324c528f" method="POST" route="/v1/chat/completions" status="200" duration_ms="334.380000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-21T17:37:38.216Z info request_completed request_id="req_gem16_2de0e9f35ebc3d3a0f53d90c2f85d5be" method="POST" route="/v1/chat/completions" status="200" duration_ms="34.758000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-21T17:37:38.220Z info request_completed request_id="req_gem16_2173cc3cbc387f188896da0cab8358de" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.541000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-21T17:37:38.444Z info request_completed request_id="req_gem16_36c478ce3a1665054b1595ac8de944df" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.480000" queue_wait_ms="0.000000" request_bytes="7177"
2026-09-21T17:37:38.881Z info request_completed request_id="req_gem16_c6d8f30a09ad77565e7a1caa2b67e9dd" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.470000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-21T17:37:39.012Z info request_completed request_id="req_gem16_b45fab31fd367184d1dbdb08159a3414" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.475000" queue_wait_ms="0.000000" request_bytes="3915"
2026-09-21T17:37:39.304Z info request_completed request_id="req_gem16_f63069c31de2675137d02ba926d614fb" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.504000" queue_wait_ms="0.000000" request_bytes="7231"
2026-09-21T17:37:39.741Z info request_completed request_id="req_gem16_6ee8d402d2e4fd44c0d2800328abb1c0" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.490000" queue_wait_ms="0.000000" request_bytes="987"
2026-09-21T17:37:40.081Z info request_completed request_id="req_gem16_b0242007361f649234569d845ebbbecc" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.456000" queue_wait_ms="0.000000" request_bytes="144"
2026-09-21T17:37:40.339Z info request_completed request_id="req_gem16_cc51bf6aaf1be12488410c7344e7b744" method="POST" route="/v1/responses" status="200" duration_ms="222.402000" queue_wait_ms="0.000000" request_bytes="523"
2026-09-21T17:37:40.764Z info request_completed request_id="req_gem16_eaf11adae99f145cd820870c2cc652d2" method="POST" route="/v1/responses" status="200" duration_ms="422.359000" queue_wait_ms="0.000000" request_bytes="6813"
2026-09-21T17:37:40.766Z warning request_completed request_id="req_gem16_7bb40226c58cf21b401238a9a1589111" method="POST" route="/v1/responses" status="404" duration_ms="0.028000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-21T17:37:40.893Z info request_completed request_id="req_gem16_d93ed0c39c3d3f2338a3f234fee97cc0" method="POST" route="/v1/responses" status="200" duration_ms="125.187000" queue_wait_ms="0.000000" request_bytes="526"
2026-09-21T17:37:41.174Z info request_completed request_id="req_gem16_01269fe4480321702e5d1d512b80dd08" method="POST" route="/v1/responses" status="200" duration_ms="279.641000" queue_wait_ms="0.000000" request_bytes="3634"
2026-09-21T17:37:41.535Z info request_completed request_id="req_gem16_3c647a47c96bbd94967352e313f880d4" method="POST" route="/v1/responses" status="200" duration_ms="358.711000" queue_wait_ms="0.000000" request_bytes="3632"
2026-09-21T17:37:41.538Z warning request_completed request_id="req_gem16_a11823da2f2c0b88b1757c2a39044878" method="POST" route="/v1/responses" status="404" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-21T17:37:41.879Z info request_completed request_id="req_gem16_7ce9ca4421559b5a5b1d26ca57a9a104" method="POST" route="/v1/responses" status="200" duration_ms="338.040000" queue_wait_ms="0.000000" request_bytes="853"
2026-09-21T17:37:41.915Z info request_completed request_id="req_gem16_bd74bf49ec9439ebe587e3af48765009" method="POST" route="/v1/responses" status="200" duration_ms="34.558000" queue_wait_ms="0.000000" request_bytes="99"
2026-09-21T17:37:41.918Z info request_completed request_id="req_gem16_31f81e7cd471e87a82c53d0e3f4d24aa" method="POST" route="/v1/responses" status="200" duration_ms="0.491000" queue_wait_ms="0.000000" request_bytes="537"
2026-09-21T17:37:42.143Z info request_completed request_id="req_gem16_67171cb7c974cf2cff0a1f16c9ec1bf9" method="POST" route="/v1/responses" status="200" duration_ms="0.066000" queue_wait_ms="0.000000" request_bytes="6827"
2026-09-21T17:37:42.569Z warning request_completed request_id="req_gem16_9193f053e8e6a68f0661fbb4f98ed371" method="POST" route="/v1/responses" status="404" duration_ms="0.044000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-21T17:37:42.571Z info request_completed request_id="req_gem16_91c320c4c7b5a542bbc671ef5e79db98" method="POST" route="/v1/responses" status="200" duration_ms="0.463000" queue_wait_ms="0.000000" request_bytes="540"
2026-09-21T17:37:42.702Z info request_completed request_id="req_gem16_98774d58596071a5429af01d80d56a1d" method="POST" route="/v1/responses" status="200" duration_ms="0.087000" queue_wait_ms="0.000000" request_bytes="3648"
2026-09-21T17:37:42.986Z info request_completed request_id="req_gem16_79976786ce0a8bcaecb5a324fc4ce78c" method="POST" route="/v1/responses" status="200" duration_ms="0.105000" queue_wait_ms="0.000000" request_bytes="3646"
2026-09-21T17:37:43.348Z warning request_completed request_id="req_gem16_aacc13de711ad7e707c5955b2a9a649c" method="POST" route="/v1/responses" status="404" duration_ms="0.029000" queue_wait_ms="0.000000" request_bytes="122"
2026-09-21T17:37:43.351Z info request_completed request_id="req_gem16_834f2e8b4f608795ee02086c4746e1fc" method="POST" route="/v1/responses" status="200" duration_ms="0.528000" queue_wait_ms="0.000000" request_bytes="867"
2026-09-21T17:37:43.688Z info request_completed request_id="req_gem16_ba4bdddf523ba185c96a8f8c4b49ff82" method="POST" route="/v1/responses" status="200" duration_ms="0.416000" queue_wait_ms="0.000000" request_bytes="113"
2026-09-21T17:37:43.856Z info request_completed request_id="req_gem16_3dfc35be9b478380f3f612bc1440b2be" method="POST" route="/v1/responses" status="200" duration_ms="132.142000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-21T17:37:44.053Z info request_completed request_id="req_gem16_bbdd6e0d5e4fe8a80407abe38652dd3f" method="POST" route="/v1/responses" status="200" duration_ms="193.876000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-21T17:37:44.056Z info request_completed request_id="req_gem16_d48c3757d4fc22a1f3f11827c063a8ab" method="POST" route="/v1/responses" status="200" duration_ms="0.447000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-21T17:37:44.188Z info request_completed request_id="req_gem16_621e27c2e6c4af61f8afaf7c64a14ef0" method="POST" route="/v1/responses" status="200" duration_ms="0.479000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-21T17:37:44.381Z warning request_completed request_id="req_gem16_de8305a654008bd5d5bf021584b207cd" method="POST" route="/v1/chat/completions" status="400" duration_ms="0.041000" queue_wait_ms="0.000000" request_bytes="82"
2026-09-21T17:37:44.382Z warning request_completed request_id="req_gem16_94c8fdf5cbce1acda6ce83247c3c7451" method="POST" route="/v1/responses" status="400" duration_ms="0.039000" queue_wait_ms="0.000000" request_bytes="47"
2026-09-21T17:37:44.383Z warning request_completed request_id="req_gem16_e6a727a19d54ef185fd0d71757f48bb4" method="POST" route="/v1/responses" status="400" duration_ms="0.022000" queue_wait_ms="0.000000" request_bytes="7"
2026-09-21T17:37:44.392Z warning request_completed request_id="req_gem16_273f8cab2e1fa7178319367adee3c8cb" method="POST" route="/v1/responses" status="400" duration_ms="7.804000" queue_wait_ms="0.000000" request_bytes="100080"
2026-09-21T17:37:44.394Z info request_completed request_id="req_gem16_5dc99d26a3f9b9d7edc9536beb15f335" method="POST" route="/v1/responses" status="200" duration_ms="0.459000" queue_wait_ms="0.000000" request_bytes="156"
2026-09-21T17:37:44.431Z info request_completed request_id="req_gem16_8c7add49b3b36e78213a1425f4ac518f" method="POST" route="/v1/responses/([^/]+)/cancel" status="200" duration_ms="0.007000" queue_wait_ms="0.000000" request_bytes="0"
2026-09-21T17:37:44.514Z info request_completed request_id="req_gem16_8642ffeb4539d837400cd2dafb082af4" method="POST" route="/v1/responses" status="200" duration_ms="60.139000" queue_wait_ms="0.000000" request_bytes="95"
2026-09-21T17:37:44.516Z info request_completed request_id="req_gem16_072ee3f4e08afe0b16f4c7d6863db67c" method="POST" route="/v1/responses" status="200" duration_ms="0.444000" queue_wait_ms="0.000000" request_bytes="156"
