2026-09-21T17:36:29.278Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18089"
2026-09-21T17:36:35.628Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5904.937382"
2026-09-21T17:36:35.634Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2605907968" safety_margin_bytes="734003200"
2026-09-21T17:36:35.634Z info server_ready host="127.0.0.1" port="18089" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6356"
2026-09-21T17:36:36.420Z info request_completed request_id="req_gem16_ccfab3d666810d5970afc310813f7a56" method="POST" route="/v1/responses" status="200" duration_ms="107.778000" queue_wait_ms="0.000000" request_bytes="437"
2026-09-21T17:36:36.614Z info request_completed request_id="req_gem16_989ea2f89b8519f1c8e77587963ea765" method="POST" route="/v1/responses" status="200" duration_ms="133.739000" queue_wait_ms="0.000000" request_bytes="686"
2026-09-21T17:36:36.619Z info request_completed request_id="req_gem16_0e9259d41815c0d690f359f7130f9c2b" method="POST" route="/v1/responses" status="200" duration_ms="0.855000" queue_wait_ms="0.000000" request_bytes="451"
2026-09-21T17:36:36.800Z info request_completed request_id="req_gem16_d804817073640c5d80ef3b9ca1cca466" method="POST" route="/v1/responses" status="200" duration_ms="0.943000" queue_wait_ms="0.000000" request_bytes="700"
2026-09-21T17:36:37.046Z info request_completed request_id="req_gem16_76a75eed007aa1538cd813eb20730856" method="POST" route="/v1/chat/completions" status="200" duration_ms="100.433000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-21T17:36:37.250Z info request_completed request_id="req_gem16_57e6f360ccb1c3dd3ff9c6a918c45988" method="POST" route="/v1/chat/completions" status="200" duration_ms="197.153000" queue_wait_ms="0.000000" request_bytes="3843"
2026-09-21T17:36:37.605Z info request_completed request_id="req_gem16_892731710c1880a3d20ab321bb006bf9" method="POST" route="/v1/chat/completions" status="200" duration_ms="353.171000" queue_wait_ms="0.000000" request_bytes="7144"
2026-09-21T17:36:37.706Z info request_completed request_id="req_gem16_81d3177e71b429a1c58663b7aee2711a" method="POST" route="/v1/chat/completions" status="200" duration_ms="100.366000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-21T17:36:37.909Z info request_completed request_id="req_gem16_7b24ab54e63bb67e3ef0312657d65f50" method="POST" route="/v1/chat/completions" status="200" duration_ms="200.250000" queue_wait_ms="0.000000" request_bytes="3846"
2026-09-21T17:36:38.271Z info request_completed request_id="req_gem16_b40dcdf3e3dcba6ca95d91e052ca76a1" method="POST" route="/v1/chat/completions" status="200" duration_ms="359.947000" queue_wait_ms="0.000000" request_bytes="7147"
2026-09-21T17:36:38.481Z info request_completed request_id="req_gem16_4ae0e1a47b930c228085710114ac89e9" method="POST" route="/v1/chat/completions" status="200" duration_ms="206.509000" queue_wait_ms="0.000000" request_bytes="933"
2026-09-21T17:36:38.518Z info request_completed request_id="req_gem16_2c89417b5b8f3f5a0adf97eab1534845" method="POST" route="/v1/chat/completions" status="200" duration_ms="36.230000" queue_wait_ms="0.000000" request_bytes="145"
2026-09-21T17:36:38.520Z info request_completed request_id="req_gem16_c7f0ad61263881f69cfcfbde80018f68" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.778000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-21T17:36:38.623Z info request_completed request_id="req_gem16_9ad7f2deacc131ff39c2f0eff993c7cd" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.855000" queue_wait_ms="0.000000" request_bytes="3912"
