2026-09-21T17:27:59.335Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18089"
2026-09-21T17:28:01.772Z info model_loaded variant="gemma4_unified_12b" native_path="gemma4_unified_12b_sm120" weight_load_path="canonical_safetensors_runtime_layout" weight_bytes="9304895488" assistant_weight_bytes="845714944" load_ms="2014.426857"
2026-09-21T17:28:01.788Z info execution_slots_admitted slot_bytes="1955896320" configured_slot_bytes="1955896320" session_limit="1" device_free_bytes="4327669760" safety_margin_bytes="734003200"
2026-09-21T17:28:01.788Z info server_ready host="127.0.0.1" port="18089" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="2453"
2026-09-21T17:28:02.805Z info request_completed request_id="req_gem16_737a6b7ebc24d39e215d55b065d19c7f" method="POST" route="/v1/chat/completions" status="200" duration_ms="232.315000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-21T17:28:03.213Z info request_completed request_id="req_gem16_f7499e6e2a27e09454d18c32c91f01b3" method="POST" route="/v1/chat/completions" status="200" duration_ms="401.176000" queue_wait_ms="0.000000" request_bytes="6863"
2026-09-21T17:28:03.342Z info request_completed request_id="req_gem16_935b23595aef6df03f083c6073a9c8d1" method="POST" route="/v1/chat/completions" status="200" duration_ms="125.856000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-21T17:28:03.618Z info request_completed request_id="req_gem16_c04075afe42e8cc0a14e8085240aee11" method="POST" route="/v1/chat/completions" status="200" duration_ms="273.238000" queue_wait_ms="0.000000" request_bytes="3731"
2026-09-21T17:28:04.024Z info request_completed request_id="req_gem16_4ccd0ac29fa9d111fe11f9e2fb172555" method="POST" route="/v1/chat/completions" status="200" duration_ms="402.961000" queue_wait_ms="0.000000" request_bytes="6917"
2026-09-21T17:28:04.364Z info request_completed request_id="req_gem16_ccad324fff01eed00ca48025317f751c" method="POST" route="/v1/chat/completions" status="200" duration_ms="335.995000" queue_wait_ms="0.000000" request_bytes="931"
2026-09-21T17:28:04.401Z info request_completed request_id="req_gem16_47da61e5fbdb55bf688e5753794a0c0d" method="POST" route="/v1/chat/completions" status="200" duration_ms="34.419000" queue_wait_ms="0.000000" request_bytes="130"
2026-09-21T17:28:04.403Z info request_completed request_id="req_gem16_7ffd1ba9fd4b2b42a6f22208992b99fd" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.541000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-21T17:28:04.630Z info request_completed request_id="req_gem16_d5176bffaad363d477b02eefa903a2a2" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.474000" queue_wait_ms="0.000000" request_bytes="6917"
2026-09-21T17:28:05.037Z info request_completed request_id="req_gem16_8520b5f366437bc61872265e5ede6dcb" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.535000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-21T17:28:05.168Z info request_completed request_id="req_gem16_71ed7f3d3a09685b74a95cbd92c25ad0" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.521000" queue_wait_ms="0.000000" request_bytes="3785"
2026-09-21T17:28:05.448Z info request_completed request_id="req_gem16_86d0fe17ed13d85a206a24b6d7adf5d8" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.511000" queue_wait_ms="0.000000" request_bytes="6971"
2026-09-21T17:28:05.855Z info request_completed request_id="req_gem16_0b9b1ebdd848f5f8f41df9d7241f9172" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.491000" queue_wait_ms="0.000000" request_bytes="985"
2026-09-21T17:28:06.192Z info request_completed request_id="req_gem16_6cc984b4b8c541e78338a4e33046fe62" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.477000" queue_wait_ms="0.000000" request_bytes="144"
