2026-09-21T17:28:28.414Z info server_starting version="0.2.0-dev" model="gem16" host="127.0.0.1" port="18089"
2026-09-21T17:28:34.677Z info model_loaded variant="gemma4_moe_26b_a4b" native_path="sm120_integrated_trellis35_w4a8_moe_bf16_tensor_router_fp8_kv" weight_load_path="trellis35_device_image_v2_pinned_async_structural" weight_bytes="12204692480" assistant_weight_bytes="258313728" load_ms="5783.599319"
2026-09-21T17:28:34.684Z info execution_slots_admitted slot_bytes="731694752" configured_slot_bytes="731694752" session_limit="1" device_free_bytes="2605907968" safety_margin_bytes="734003200"
2026-09-21T17:28:34.684Z info server_ready host="127.0.0.1" port="18089" model="gem16" session_limit="1" max_queued_requests="2" http_task_queue_limit="19" startup_ms="6270"
2026-09-21T17:28:35.596Z info request_completed request_id="req_gem16_3a6aa226e91d11c717db15b01ad5ad9a" method="POST" route="/v1/chat/completions" status="200" duration_ms="109.787000" queue_wait_ms="0.000000" request_bytes="539"
2026-09-21T17:28:36.733Z warning request_completed request_id="req_gem16_e02614dfc480b12b885a3d88ad288d06" method="POST" route="/v1/chat/completions" status="400" duration_ms="1130.239000" queue_wait_ms="0.000000" request_bytes="3728"
2026-09-21T17:28:37.692Z info request_completed request_id="req_gem16_a8b39a280b4e1ea1438358d7abfd579b" method="POST" route="/v1/chat/completions" status="200" duration_ms="954.112000" queue_wait_ms="0.000000" request_bytes="542"
2026-09-21T17:28:38.996Z info request_completed request_id="req_gem16_e35a986a7d50f18bd44a521087868710" method="POST" route="/v1/chat/completions" status="200" duration_ms="1300.604000" queue_wait_ms="0.000000" request_bytes="3731"
2026-09-21T17:28:40.468Z info request_completed request_id="req_gem16_2685f83bddb2c65043ee735110fe0787" method="POST" route="/v1/chat/completions" status="200" duration_ms="1468.743000" queue_wait_ms="0.000000" request_bytes="10052"
2026-09-21T17:28:41.607Z info request_completed request_id="req_gem16_b166ce6724841e3066adb0fba095ac74" method="POST" route="/v1/chat/completions" status="200" duration_ms="1135.270000" queue_wait_ms="0.000000" request_bytes="931"
2026-09-21T17:28:41.646Z info request_completed request_id="req_gem16_e23e7fbd32e678bea6e21ca495adec33" method="POST" route="/v1/chat/completions" status="200" duration_ms="36.190000" queue_wait_ms="0.000000" request_bytes="130"
2026-09-21T17:28:41.650Z info request_completed request_id="req_gem16_b45a22e7ee6ab55f5d2e9bb903d6b35e" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.839000" queue_wait_ms="0.000000" request_bytes="593"
2026-09-21T17:28:43.243Z info request_completed request_id="req_gem16_8177c60f90646c6404fd47a72fc04017" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.895000" queue_wait_ms="0.000000" request_bytes="10639"
2026-09-21T17:28:43.246Z info request_completed request_id="req_gem16_0776993c1ba197c8fdc09c191446b251" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.862000" queue_wait_ms="0.000000" request_bytes="596"
2026-09-21T17:28:44.204Z info request_completed request_id="req_gem16_5373c5a9b02bb5ac361c44f1c01c951b" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.909000" queue_wait_ms="0.000000" request_bytes="3785"
2026-09-21T17:28:45.510Z info request_completed request_id="req_gem16_84c1cf060cf3bf013d63ca12bd65f712" method="POST" route="/v1/chat/completions" status="200" duration_ms="0.876000" queue_wait_ms="0.000000" request_bytes="10837"
