API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
319222817,2130125,,,321344805,14944,2136932,570413,570413,0,cudaLaunchKernel,   1    1    1,   1    1    1,"gem16::internal::<unnamed>::BuildTrellis35PrefillTileScheduleKernel(const unsigned int *, unsigned int *, unsigned int *)"
321363722,72687,321436409,2187,321438596,355834,430708,570413,570413,0,cudaLaunchKernel,1024    1    1, 256    1    1,"gem16::internal::<unnamed>::PrefillTransformScaleKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, bool)"
321440617,30697,321471314,331724,321803038,335834,698255,570413,570413,0,cudaLaunchKernel,  11 1024    1, 256    1    1,"gem16::internal::<unnamed>::PrefillTransformQuantizeKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, const float *, unsigned char *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, bool)"
321474410,27241,321501651,645221,322146872,1067886,1740348,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321505087,14508,321519595,1704859,323224454,9120,1728487,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321520506,3016,321523522,1710276,323233798,1063886,2777178,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321524123,3547,321527670,2770238,324297908,9119,2782904,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321528191,2615,321530806,2776445,324307251,1056175,3835235,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321531237,2474,321533711,3829971,325363682,9056,3841501,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321534783,2395,321537178,3835784,325372962,1062862,4901041,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
